Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,5:05.45,Dmitrijs JURKEVIČS,07 JAN 1987,LAT,1,,Viljandi (EST),01 JUL 2014,1080
2,5:10.41,Andi NOOT,14 SEP 1993,EST,2,,Viljandi (EST),01 JUL 2014,1032
3,5:12.83,Mitko TSENOV,13 JUN 1993,BUL,1,,Sofia (BUL),28 JUN 2014,1009
4,5:14.22,Thijs NIJHUIS,20 SEP 1992,DEN,1,,Skive (DEN),20 SEP 2014,996
5,5:19.91,Jan PETRAČ,04 JUL 1995,SLO,1,,Domžale (SLO),21 MAY 2014,944
6,5:20.77,Mitja KREVS,26 JUL 1989,SLO,1,,Celje (SLO),28 JUN 2014,936
7,5:24.08,Yolo NIKOLOV,04 FEB 1984,BUL,2,,Sofia (BUL),28 JUN 2014,906
