Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,2:15.96,Ilham Tanui ÖZBILEN,05 MAR 1990,TUR,1,,Istanbul (TUR),20 FEB 2014,1232
2,2:16.76,David TORRENCE,26 NOV 1985,USA,1,,"Boston, MA (USA)",02 MAR 2014,1214
3,2:16.87,Nathan BRANNEN,08 SEP 1982,CAN,2,,"Boston, MA (USA)",02 MAR 2014,1211
4,2:17.63,Pierre-Ambroise BOSSE,11 MAY 1992,FRA,1,,"New York, NY (USA)",15 FEB 2014,1193
5,2:17.67,Marcin LEWANDOWSKI,13 JUN 1987,POL,1,,Metz (FRA),28 FEB 2014,1192
6,2:18.55,Richard PETERS,18 FEB 1990,GBR,3,,"Boston, MA (USA)",02 MAR 2014,1172
7,2:18.63,Erik SOWINSKI,21 DEC 1989,USA,2,,"New York, NY (USA)",15 FEB 2014,1170
8,2:18.87,Nick SYMMONDS,30 DEC 1983,USA,3,,"New York, NY (USA)",15 FEB 2014,1164
9,2:19.24,Nader BELHANBEL,01 JUL 1994,MAR,2,,Metz (FRA),28 FEB 2014,1156
10,2:19.67,Michael RUTT,28 OCT 1987,USA,4,,"New York, NY (USA)",15 FEB 2014,1146
11,2:19.95,Florian CARVALHO DE FONSESCO,09 MAR 1989,FRA,3,,Metz (FRA),28 FEB 2014,1140
12,2:20.57,Robby ANDREWS,29 MAR 1991,USA,5,,"New York, NY (USA)",15 FEB 2014,1126
13,2:20.59,Stepan POISTOGOV,14 DEC 1986,RUS,1f1,,Yekaterinburg (RUS),07 JAN 2014,1125
14,2:20.65,Robby CREESE,30 AUG 1993,USA,1f1,,"University Park, PA (USA)",18 JAN 2014,1124
15,2:20.67,Paul RENAUDIE,02 APR 1990,FRA,4,,Metz (FRA),28 FEB 2014,1123
16,2:21.20,Tyler MULDER,15 FEB 1987,USA,6,,"New York, NY (USA)",15 FEB 2014,1111
17,2:21.42,Ahmed BILE,21 SEP 1993,USA,2f1,,"University Park, PA (USA)",18 JAN 2014,1106
18,2:21.68,Danil STRELNIKOV,03 MAY 1992,RUS,1,,Chelyabinsk (RUS),27 JAN 2014,1101
19,2:21.77,William LEDDER,26 JUN 1992,USA,3f1,,"University Park, PA (USA)",18 JAN 2014,1099
20,2:21.99,Jesse GARN,04 JUN 1993,USA,1f4,,"New York, NY (USA)",07 FEB 2014,1094
21,2:22.00,Ioan ZĂIZAN,21 JUL 1983,ROU,2,,Istanbul (TUR),20 FEB 2014,1093
22,2:22.32,Pavel TEBENKOV,27 DEC 1991,RUS,2,,Chelyabinsk (RUS),27 JAN 2014,1086
23,2:22.35,Ned WILLIG,08 FEB 1994,USA,1f1,,"Boston, MA (USA)",25 JAN 2014,1086
24,2:22.46,Mohammed SOULEIMAN,1993,CAN,2f4,,"New York, NY (USA)",07 FEB 2014,1083
25,2:22.47,Erik BERG,24 NOV 1990,USA,1f1,,"Boston, MA (USA)",08 FEB 2014,1083
26,2:22.66,Josh LAMPRON,04 NOV 1993,USA,1,,"New York, NY (USA)",22 FEB 2014,1079
27,2:22.71,Richard PETERS,18 FEB 1990,GBR,2f1,,"Boston, MA (USA)",08 FEB 2014,1078
28,2:22.73,Nicholas GUARINO,24 MAY 1989,USA,1f2,,"Boston, MA (USA)",25 JAN 2014,1077
29,2:22.75,Amos BARTELSMEYER,25 JUL 1994,USA,1,,"State College, PA (USA)",01 FEB 2014,1077
29,2:22.75,David FIEGEN,03 SEP 1984,LUX,5,,Metz (FRA),28 FEB 2014,1077
31,2:22.79,Mohad ABDIKADAR SHEIK ALI,12 JUN 1993,ITA,1f1,,Ancona (ITA),18 JAN 2014,1076
32,2:22.82,Keffri W. NEAL,26 OCT 1993,CAN,1,,"Bloomington, IN (USA)",13 DEC 2013,1075
33,2:22.89,Benjamin HERRIAU,17 FEB 1992,FRA,6,,Metz (FRA),28 FEB 2014,1074
34,2:22.94,Owen DAWSON,19 SEP 1988,USA,4f1,,"University Park, PA (USA)",18 JAN 2014,1073
35,2:23.08,Ryan MANAHAN,14 JUL 1994,USA,2,,"State College, PA (USA)",01 FEB 2014,1069
36,2:23.42,Sergey USOLTSEV,17 OCT 1986,RUS,3,,Chelyabinsk (RUS),27 JAN 2014,1062
37,2:23.48,Amos BARTELSMEYER,25 JUL 1994,USA,2,,"New York, NY (USA)",22 FEB 2014,1061
37,2:23.48,Dusty SOLIS,28 JUN 1990,USA,2,,"New York, NY (USA)",22 FEB 2014,1061
39,2:23.50,Sacha SMART,1994,CAN,3f4,,"New York, NY (USA)",07 FEB 2014,1060
40,2:23.61,Tomás SQUELLA,18 OCT 1991,CHI,1,,"Fayetteville, AR (USA)",17 JAN 2014,1058
41,2:23.63,Thomas RIVA,31 JAN 1992,CAN,1f1,,Montréal (CAN),24 JAN 2014,1057
42,2:23.64,Andrey LOGINOV,05 DEC 1987,RUS,1f2,,Yekaterinburg (RUS),07 JAN 2014,1057
43,2:23.75,Alex BUSSIÈRES,1994,CAN,1f1,,Montréal (CAN),14 DEC 2013,1055
44,2:23.78,Luke BRAHM,,USA,3f1,,"Boston, MA (USA)",08 FEB 2014,1054
45,2:23.83,Yassine EL HOUDNI,25 FEB 1990,ITA,1f1,,Ancona (ITA),01 FEB 2014,1053
46,2:23.85,Joe VERCOLLONE,,USA,1h1,,"Boston, MA (USA)",08 MAR 2014,1052
47,2:23.87,Bobby PEAVEY,13 MAR 1991,USA,5f1,,"University Park, PA (USA)",18 JAN 2014,1052
47,2:23.87,Alex ULLMAN,1992,CAN,2f1,,Montréal (CAN),24 JAN 2014,1052
49,2:23.94,Brad BICKLEY,1991,CAN,1,,Edmonton (CAN),21 FEB 2014,1051
50,2:23.96,Danil STRELNIKOV,03 MAY 1992,RUS,2f2,,Yekaterinburg (RUS),07 JAN 2014,1050
50,2:23.96,Artur KUCIAPSKI,26 DEC 1993,POL,1,,Spala (POL),26 JAN 2014,1050
52,2:23.97,Thomas RIVA,31 JAN 1992,CAN,2,,Edmonton (CAN),21 FEB 2014,1050
53,2:24.00,Mikael RÖJERÅS,1990,SWE,2h1,,"Boston, MA (USA)",08 MAR 2014,1049
54,2:24.02,Brad BICKLEY,1991,CAN,1,,Edmonton (CAN),18 JAN 2014,1049
55,2:24.03,Vyacheslav SOKOLOV,15 DEC 1984,RUS,1f6,,Moskva (RUS),12 JAN 2014,1049
56,2:24.14,Benoit BOULAY,14 SEP 1991,CAN,4f1,,"Boston, MA (USA)",08 FEB 2014,1046
56,2:24.14,Marc-Antoine ROULEAU,1993,CAN,4f1,,"Boston, MA (USA)",08 FEB 2014,1046
58,2:24.16,Nicholas PALERMO,1993,USA,3h1,,"Boston, MA (USA)",08 MAR 2014,1046
