Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,10.54,+0.9,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,1,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1302
2,10.60,+1.7,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2021,1289
3,10.72,+1.6,Sha'Carri RICHARDSON,25 MAR 2000,USA,1f2,,"Ansin Sports Complex, Miramar, FL (USA)",10 APR 2021,1262
4,10.76,-0.6,Shericka JACKSON,16 JUL 1994,JAM,3,,"National Stadium, Tokyo (JPN)",31 JUL 2021,1256
5,10.78,-0.3,Marie-Josée TA LOU,18 NOV 1988,CIV,1h4,,"National Stadium, Tokyo (JPN)",30 JUL 2021,1249
6,10.83,+0.9,Teahna DANIELS,25 MAR 1997,USA,4,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1237
7,10.87,+1.3,Natasha MORRISON,17 NOV 1992,JAM,1,,"Tropical Park Track, Miami, FL (USA)",24 APR 2021,1228
7,10.87,+0.6,Dina ASHER-SMITH,04 DEC 1995,GBR,2,,"Letzigrund, Zürich (SUI)",09 SEP 2021,1228
9,10.89,+1.3,Twanisha TERRY,24 JAN 1999,USA,1h3,,"Cushing Stadium, College Station, TX (USA)",29 MAY 2021,1224
10,10.90,+1.1,Blessing OKAGBARE,09 OCT 1988,NGR,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1222
10,10.90,+1.8,Ajla DEL PONTE,15 JUL 1996,SUI,1f1,,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 AUG 2021,1222
12,10.91,+0.7,Aleia HOBBS,24 FEB 1996,USA,1f1,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",24 APR 2021,1220
13,10.92,+1.4,Cambrea STURGIS,27 MAR 1999,USA,1h3,,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",29 MAY 2021,1217
14,10.93,+0.6,Daryll NEITA,29 AUG 1996,GBR,4,,"Letzigrund, Zürich (SUI)",09 SEP 2021,1215
15,10.94,+0.6,Mujinga KAMBUNDJI,17 JUN 1992,SUI,5,,"Letzigrund, Zürich (SUI)",09 SEP 2021,1213
16,10.96,+0.7,Tamara CLARK,09 JAN 1999,USA,2f1,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",24 APR 2021,1209
16,10.96,+1.2,Tianna BARTOLETTA,30 AUG 1985,USA,2f2,,"Ansin Sports Complex, Miramar, FL (USA)",05 JUN 2021,1209
16,10.96,+1.1,Javianne OLIVER,26 DEC 1994,USA,1h3,,"Hayward Field, Eugene, OR (USA)",18 JUN 2021,1209
19,10.97,+1.2,Briana WILLIAMS,21 MAR 2002,JAM,3f2,,"Ansin Sports Complex, Miramar, FL (USA)",05 JUN 2021,1206
20,10.98,+0.1,Kemba NELSON,23 FEB 2000,JAM,1h2,,"Cushing Stadium, College Station, TX (USA)",29 MAY 2021,1204
21,10.99,+1.1,Kayla WHITE,14 SEP 1996,USA,2h3,,"Hayward Field, Eugene, OR (USA)",18 JUN 2021,1202
22,11.00,+0.8,Gabrielle THOMAS,07 DEC 1996,USA,1h1,,"Hayward Field, Eugene, OR (USA)",18 JUN 2021,1200
22,11.00,+1.3,Nzubechi Grace NWOKOCHA,07 APR 2001,NGR,3h5,,"National Stadium, Tokyo (JPN)",30 JUL 2021,1200
22,11.00,-0.2,Michelle-Lee AHYE,10 APR 1992,TTO,3sf2,,"National Stadium, Tokyo (JPN)",31 JUL 2021,1201
25,11.01,+1.8,Alexandra BURGHARDT,28 APR 1994,GER,1f1,,"Stade Bouleyres, Bulle (SUI)",10 JUL 2021,1198
26,11.02,+0.7,Mikiah BRISCO,14 JUL 1996,USA,3f1,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",24 APR 2021,1195
26,11.02,+0.7,Symone MASON,31 AUG 1999,USA,3f1,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",24 APR 2021,1195
26,11.02,+1.3,TyNia GAITHER,16 MAR 1993,BAH,2,,"Tropical Park Track, Miami, FL (USA)",24 APR 2021,1195
29,11.07,+1.3,Natalliah WHYTE,09 AUG 1997,JAM,2h1,,"Ansin Sports Complex, Miramar, FL (USA)",10 APR 2021,1185
29,11.07,+1.9,Hannah CUNLIFFE,09 JAN 1996,USA,1,,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",30 APR 2021,1185
29,11.07,+0.4,Kiara PARKER,28 OCT 1996,USA,1f2,,"Boston, MA (USA)",23 MAY 2021,1185
32,11.08,+1.8,Morolake AKINOSUN,17 MAY 1994,USA,2h2,,"Hilmer Lodge Stadium, Walnut, CA (USA)",09 MAY 2021,1182
32,11.08,+1.6,Marybeth SANT-PRICE,06 APR 1995,USA,1,,"Grace Center for Athletics and Community Service, Colorado Springs, CO (USA)",13 JUN 2021,1182
34,11.09,+1.3,Kortnei JOHNSON,11 AUG 1997,USA,3h1,,"Ansin Sports Complex, Miramar, FL (USA)",10 APR 2021,1180
34,11.09,+1.6,Ackera NUGENT,29 APR 2002,JAM,1pr1,,"Cushing Stadium, College Station, TX (USA)",27 MAY 2021,1180
34,11.09,+0.8,Dezerea BRYANT,27 APR 1993,USA,3h1,,"Hayward Field, Eugene, OR (USA)",18 JUN 2021,1180
34,11.09,-0.6,Tina CLAYTON,17 AUG 2004,JAM,1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",19 AUG 2021,1183
34,11.09,+0.9,English GARDNER,22 APR 1992,USA,3f1,,"Lantos Mihály Sportközpont, Budapest (HUN)",24 AUG 2021,1180
39,11.10,+1.8,Ashanti MOORE,07 NOV 2000,JAM,3f1,,"National Training Center, Clermont, FL (USA)",02 MAY 2021,1178
39,11.10,+2.0,Tatjana PINTO,02 JUL 1992,GER,1h1,,"Stadion Manfort, Leverkusen (GER)",27 JUN 2021,1178
39,11.10,+1.8,Lorène Dorcas BAZOLO,04 MAY 1983,POR,2f1,,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 AUG 2021,1178
42,11.11,+1.6,Jada BAYLARK,17 OCT 1997,USA,2pr1,,"Cushing Stadium, College Station, TX (USA)",27 MAY 2021,1176
42,11.11,-1.0,Jenna PRANDINI,20 NOV 1992,USA,3,,"Hayward Field, Eugene, OR (USA)",19 JUN 2021,1182
42,11.11,+0.7,Crystal EMMANUEL,27 NOV 1991,CAN,1,,"Complexe Sportif Claude-Robillard, Montréal (CAN)",29 JUN 2021,1176
45,11.12,-0.5,Rhoda NJOBVU,29 JAN 1994,ZAM,1,,"National Heroes Stadium, Lusaka (ZAM)",20 MAR 2021,1177
45,11.12,+1.8,Tiana WILSON,19 JUL 2000,USA,1,,"Mike A. Myers Stadium, Austin, TX (USA)",27 MAR 2021,1174
45,11.12,+1.9,Jayla KIRKLAND,13 FEB 1999,USA,2,,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",30 APR 2021,1174
45,11.12,+1.7,Lisa MAYER,02 MAY 1996,GER,1f1,,"Michael-Hoffmann-Stadion, Mannheim (GER)",15 MAY 2021,1174
45,11.12,0.0,Maia MCCOY,09 DEC 1996,USA,2h2,,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",29 MAY 2021,1174
45,11.12,+1.2,Salomé KORA,08 JUN 1994,SUI,2f1,,"Centre sportif Bout-du-Monde, Genève (SUI)",12 JUN 2021,1174
45,11.12,+1.3,Gina BASS,03 MAY 1995,GAM,4h5,,"National Stadium, Tokyo (JPN)",30 JUL 2021,1174
52,11.13,+0.5,Candace HILL,11 FEB 1999,USA,1h1,,"Cougar Athletic Stadium, Azusa, CA (USA)",16 APR 2021,1172
52,11.13,+1.1,Shashalee FORBES,10 MAY 1996,JAM,2h1,,"National Stadium, Kingston (JAM)",24 JUN 2021,1172
54,11.14,+2.0,Tristan EVELYN,25 JAN 1998,BAR,1,,"University of South Florida Track & Field Stadium, Tampa, FL (USA)",16 MAY 2021,1169
54,11.14,+1.1,Remona BURCHELL,15 SEP 1991,JAM,3h1,,"National Stadium, Kingston (JAM)",24 JUN 2021,1169
54,11.14,+0.8,Bassant HEMIDA,28 SEP 1996,EGY,1f1,,Brno (CZE),04 JUL 2021,1169
57,11.15,0.0,Alfreda STEELE,19 DEC 1997,USA,3h2,,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",29 MAY 2021,1167
57,11.15,+0.8,Dafne SCHIPPERS,15 JUN 1992,NED,4,,"FBK Stadium, Hengelo (NED)",06 JUN 2021,1167
57,11.15,+0.7,Manqi GE,13 OCT 1997,CHN,1,,Chongqing (CHN),24 JUN 2021,1167
57,11.15,+1.4,Imani LANSIQUOT,17 DEC 1997,GBR,1f2,,"Sportcentrum Wembley, Kortrijk (BEL)",10 JUL 2021,1167
61,11.16,+1.7,Khamica BINGHAM,15 JUN 1994,CAN,1f1,,"Ansin Sports Complex, Miramar, FL (USA)",05 JUN 2021,1165
61,11.16,+1.2,Asha PHILIP,25 OCT 1990,GBR,2,,"Sportcity Regional Arena, Manchester (GBR)",26 JUN 2021,1165
61,11.16,+1.8,Hana BASIC,22 JAN 1996,AUS,2f1,,"Stade Bouleyres, Bulle (SUI)",10 JUL 2021,1165
61,11.16,-0.1,Murielle AHOURÉ,23 AUG 1987,CIV,3h1,,"National Stadium, Tokyo (JPN)",30 JUL 2021,1165
65,11.17,0.0,Dutee CHAND,03 FEB 1996,IND,1,,Patiala (IND),21 JUN 2021,1163
65,11.17,+1.8,Orlann OMBISSA-DZANGUE,26 MAY 1991,FRA,3f1,,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 AUG 2021,1163
67,11.18,+1.6,Lanae-Tava THOMAS,28 JAN 2001,USA,1h2,,"Katherine B. Loker Stadium, Los Angeles, CA (USA)",15 MAY 2021,1161
67,11.18,+1.4,Anavia BATTLE,28 MAR 1999,USA,1pr3,,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",27 MAY 2021,1161
67,11.18,+1.7,Shockoria WALLACE,09 AUG 1993,JAM,2f1,,"Ansin Sports Complex, Miramar, FL (USA)",05 JUN 2021,1161
67,11.18,0.0,Rosemary CHUKWUMA,05 DEC 2001,NGR,1sf1,,"Yabatech Sport Complex, Lagos (NGR)",17 JUN 2021,1161
71,11.19,+1.3,Jasmine ABRAMS,14 MAR 1994,GUY,3,,"Tropical Park Track, Miami, FL (USA)",24 APR 2021,1159
71,11.19,+1.2,Joella LLOYD,12 APR 2002,ANT,1f1,,"Tom Black Track at LaPorte Stadium, Knoxville, TN (USA)",01 MAY 2021,1159
71,11.19,+1.0,Kelly-Ann BAPTISTE,14 OCT 1986,TTO,h2,,"National Stadium, Kingston (JAM)",24 JUN 2021,1159
71,11.19,+0.5,Kevona DAVIS,20 DEC 2001,JAM,3h4,,"National Stadium, Kingston (JAM)",24 JUN 2021,1159
71,11.19,+2.0,Jennifer MONTAG,11 FEB 1998,GER,2h1,,"Stadion Manfort, Leverkusen (GER)",27 JUN 2021,1159
76,11.20,+1.4,Lynna IRBY,06 DEC 1998,USA,1h2,,"National Training Center, Clermont, FL (USA)",04 APR 2021,1157
76,11.20,+0.5,Vitoria Cristina ROSA,12 JAN 1996,BRA,2h1,,"Cougar Athletic Stadium, Azusa, CA (USA)",16 APR 2021,1157
76,11.20,+1.2,Veronica CAMPBELL-BROWN,15 MAY 1982,JAM,5f2,,"Ansin Sports Complex, Miramar, FL (USA)",05 JUN 2021,1157
76,11.20,+1.7,Taylor ANDERSON,01 DEC 1994,USA,1f1,,"Bolles HS Track, Jacksonville, FL (USA)",12 JUN 2021,1157
76,11.20,+0.7,Ewa SWOBODA,26 JUL 1997,POL,2,,"Stadion Śląski, Chorzów (POL)",20 JUN 2021,1157
76,11.20,+1.9,Lisa NIPPGEN,02 APR 1997,GER,1h2,,"Stadion Manfort, Leverkusen (GER)",27 JUN 2021,1157
76,11.20,+1.0,Beatrice MASILINGI,10 APR 2003,NAM,1h3,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",18 AUG 2021,1157
76,11.20,+0.6,Léonie POINTET,17 FEB 2001,SUI,1,,"Sport Arena, Nottwil (SUI)",04 SEP 2021,1157
84,11.21,+1.8,Thelma DAVIES,08 MAY 2000,USA,2,,"Mike A. Myers Stadium, Austin, TX (USA)",27 MAR 2021,1154
84,11.21,+1.7,Rebekka HAASE,02 JAN 1993,GER,2f1,,"Michael-Hoffmann-Stadion, Mannheim (GER)",15 MAY 2021,1154
84,11.21,+2.0,Cecilia TAMAYO-GARZA,04 MAR 1997,MEX,2,,"University of South Florida Track & Field Stadium, Tampa, FL (USA)",16 MAY 2021,1154
84,11.21,0.0,Brittany BROWN,18 APR 1995,USA,3,,"Marietta HS, Marietta, GA (USA)",09 JUL 2021,1154
88,11.22,+1.4,Melissa JEFFERSON,21 FEB 2001,USA,3f1,,"Percy Beard Track, Gainesville, FL (USA)",17 APR 2021,1152
88,11.22,+1.0,Caitland SMITH,24 MAR 1996,USA,1f1,,"Mike Sanders Track & Field Complex, Starkville, MS (USA)",01 MAY 2021,1152
88,11.22,+1.0,Kynnedy FLANNEL,12 JUL 2000,USA,1h2,,"RV Christian Track, Manhattan, KS (USA)",15 MAY 2021,1152
88,11.22,+1.5,Krystsina TSIMANOUSKAYA,19 NOV 1996,BLR,1f1,,"Sportzentrum Niederösterreich, St. Pölten (AUT)",03 JUN 2021,1152
88,11.22,+1.0,Arialis GANDULLA,22 JUN 1995,POR,2h1,,Salamanca (ESP),05 JUN 2021,1152
88,11.22,+0.8,Pia SKRZYSZOWSKA,20 APR 2001,POL,1,,"Golęcin Stadion, Poznan (POL)",24 JUN 2021,1152
88,11.22,+1.8,Marije VAN HUNENSTIJN,02 MAR 1995,NED,5f1,,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 AUG 2021,1152
95,11.23,+2.0,Kiana FOSTER,2001,USA,1f1,,"Southeastern Track Complex, Hammond, LA (USA)",01 MAY 2021,1150
95,11.23,+1.4,Ka'Tia SEYMOUR,03 OCT 1997,USA,2pr3,,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",27 MAY 2021,1150
95,11.23,+1.7,Barbara PIERRE,28 APR 1987,USA,3f1,,"Ansin Sports Complex, Miramar, FL (USA)",05 JUN 2021,1150
95,11.23,+1.0,Gabriela Anahi SUAREZ,02 FEB 2001,ECU,3h1,,Salamanca (ESP),05 JUN 2021,1150
95,11.23,+1.2,Kristal AWUAH,07 AUG 1999,GBR,4,,"Sportcity Regional Arena, Manchester (GBR)",26 JUN 2021,1150
100,11.24,+1.6,Ayla STANISCLAUS,19 MAR 2000,TTO,1f1,,"West Texas A&M University Track & Soccer Complex, Canyon, TX (USA)",03 APR 2021,1148
100,11.24,+1.3,Kasheika CAMERON,22 OCT 1998,JAM,4,,"Tropical Park Track, Miami, FL (USA)",24 APR 2021,1148
100,11.24,+1.5,Gloria HOOPER,03 MAR 1992,ITA,1f1,,"Stadio Guidobaldi, Rieti (ITA)",22 MAY 2021,1148
103,11.25,+0.5,Destiny SMITH-BARNETT,26 JUL 1996,USA,1,,"CVEATC, Chula Vista, CA (USA)",02 MAY 2021,1146
103,11.25,+1.4,Celera BARNES,02 DEC 1998,USA,4h3,,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",29 MAY 2021,1146
103,11.25,+0.1,Ella CONNOLLY,13 JUL 2000,AUS,1f1,,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",04 DEC 2021,1146
106,11.26,+1.8,Shannon RAY,23 DEC 1995,USA,4f1,,"National Training Center, Clermont, FL (USA)",02 MAY 2021,1144
106,11.26,0.0,Caisja CHANDLER,18 JUN 2000,USA,4h2,,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",29 MAY 2021,1144
106,11.26,0.0,Patience Knowledge OMOVOH,01 OCT 2000,NGR,2sf1,,"Yabatech Sport Complex, Lagos (NGR)",17 JUN 2021,1144
106,11.26,+0.4,Sina MAYER,10 APR 1995,GER,2,,"Sportanlage am Weinweg, Regensburg (GER)",20 JUN 2021,1144
