Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,7:58.28,,Soufiane EL BAKKALI,07 JAN 1996,MAR,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",05 JUN 2022,1266
2,7:58.68,,Lamecha GIRMA,26 NOV 2000,ETH,1,,"Mestský Stadion, Ostrava (CZE)",31 MAY 2022,1264
3,8:06.29,,Hailemariyam AMARE,22 FEB 1997,ETH,3,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",05 JUN 2022,1229
4,8:06.73,,Abraham KIBIWOT,06 APR 1996,KEN,2,,"Stadio Olimpico, Roma (ITA)",09 JUN 2022,1227
5,8:06.74,,Getnet WALE,16 JUL 2000,ETH,3,,"Stadio Olimpico, Roma (ITA)",09 JUN 2022,1227
6,8:08.76,,Conseslus KIPRUTO,08 DEC 1994,KEN,4,,"Stadio Olimpico, Roma (ITA)",09 JUN 2022,1218
7,8:09.93,,Amos SEREM,28 AUG 2002,KEN,5,,"Stadio Olimpico, Roma (ITA)",09 JUN 2022,1212
8,8:10.29,,Ahmed ABDELWAHED,26 MAY 1996,ITA,6,,"Stadio Olimpico, Roma (ITA)",09 JUN 2022,1211
9,8:11.00,,Osama ZOGHLAMI,19 JUN 1994,ITA,7,,"Stadio Olimpico, Roma (ITA)",09 JUN 2022,1207
10,8:11.20,,Avinash Mukund SABLE,13 SEP 1994,IND,2,,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1206
11,8:12.08,,Leonard Kipkemoi BETT,03 NOV 2000,KEN,3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2022,1202
12,8:12.19,,Hillary BOR,22 NOV 1989,USA,8,,"Stadio Olimpico, Roma (ITA)",09 JUN 2022,1202
13,8:12.65,,Ryuji MIURA,11 FEB 2002,JPN,4,,"Letzigrund, Zürich (SUI)",08 SEP 2022,1200
14,8:14.31,,Daniel ARCE,22 APR 1992,ESP,10,,"Stadio Olimpico, Roma (ITA)",09 JUN 2022,1192
15,8:14.63,,Amos KIRUI,09 FEB 1998,KEN,1,,"Stade Delort, Marseille (FRA)",15 JUN 2022,1191
16,8:14.87,,Abrham SIME,07 NOV 2001,ETH,1,,"Paavo Nurmen Stadion, Turku (FIN)",14 JUN 2022,1190
17,8:15.58,,Frederik RUPPERT,19 FEB 1997,GER,2,,"Paavo Nurmen Stadion, Turku (FIN)",14 JUN 2022,1186
18,8:16.35,,Mehdi BELHADJ,10 JUN 1995,FRA,7,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",05 JUN 2022,1183
19,8:16.38,,Mohamed Amin JHINAOUI,02 APR 1997,TUN,11,,"Stadio Olimpico, Roma (ITA)",09 JUN 2022,1183
20,8:16.42,,Víctor RUIZ,24 JUN 1993,ESP,2,,"Estadio Iberoamericano, Huelva (ESP)",25 MAY 2022,1183
21,8:16.46,,Sebastián MARTOS,20 JUN 1989,ESP,1,,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",12 JUN 2022,1182
22,8:16.99,,Evan JAGER,08 MAR 1989,USA,8,,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2022,1180
23,8:17.32,,Benjamin KIGEN,05 JUL 1993,KEN,8,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",05 JUN 2022,1179
24,8:17.98,,Lawrence Kemboi KIPSANG,15 JUN 1993,KEN,7,,"Letzigrund, Zürich (SUI)",08 SEP 2022,1176
25,8:18.70,,Ahmed JAZIRI,16 DEC 1997,TUN,1,,"Hayward Field, Eugene, OR (USA)",10 JUN 2022,1172
26,8:18.75,,Yemane HAILESELASSIE,21 FEB 1998,ERI,4h3,,"Hayward Field, Eugene, OR (USA)",15 JUL 2022,1172
27,8:18.88,,Duncan HAMILTON,14 JUL 2000,USA,2,,"Hayward Field, Eugene, OR (USA)",10 JUN 2022,1172
27,8:18.88,,Parker STOKES,05 SEP 2000,USA,3,,"Hayward Field, Eugene, OR (USA)",10 JUN 2022,1172
29,8:19.16,,Brian BARRAZA,16 MAY 1995,USA,1,,"Vanderbilt Track, Nashville, TN (USA)",04 JUN 2022,1170
29,8:19.16,,Benard KETER,25 MAY 1992,USA,3,,"Hayward Field, Eugene, OR (USA)",25 JUN 2022,1170
31,8:19.18,,Travis MAHONEY,25 JUL 1990,USA,2,,"Vanderbilt Track, Nashville, TN (USA)",04 JUN 2022,1170
32,8:19.34,,Topi RAITANEN,07 FEB 1996,FIN,3,,"Paavo Nurmen Stadion, Turku (FIN)",14 JUN 2022,1170
33,8:19.57,,Vidar JOHANSSON,08 OCT 1996,SWE,4,,"Paavo Nurmen Stadion, Turku (FIN)",14 JUN 2022,1168
34,8:19.63,,Salaheddine BEN YAZIDE,06 MAY 2003,MAR,10,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",05 JUN 2022,1168
35,8:19.79,,Ben BUCKINGHAM,08 NOV 1991,AUS,5,,"Paavo Nurmen Stadion, Turku (FIN)",14 JUN 2022,1167
36,8:19.82,,Samuel FIREWU,03 MAY 2004,ETH,5,,"Mestský Stadion, Ostrava (CZE)",31 MAY 2022,1167
37,8:20.06,,Ryan SMEETON,26 OCT 1998,CAN,4,,"Hayward Field, Eugene, OR (USA)",10 JUN 2022,1166
