Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,8:01.35,,Conseslus KIPRUTO,08 DEC 1994,KEN,1,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1252
2,8:01.36,,Lamecha GIRMA,26 NOV 2000,ETH,2,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1252
3,8:03.76,,Soufiane EL BAKKALI,07 JAN 1996,MAR,3,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1241
4,8:05.12,,Benjamin KIGEN,05 JUL 1993,KEN,2,,"Stade Louis II, Monaco (MON)",12 JUL 2019,1234
5,8:05.21,,Getnet WALE,16 JUL 2000,ETH,4,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1234
6,8:05.23,,Djilali BEDRANI,01 OCT 1993,FRA,5,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1234
7,8:05.69,,Fernando CARRO,01 APR 1992,ESP,4,,"Stade Louis II, Monaco (MON)",12 JUL 2019,1232
8,8:05.72,,Abraham KIBIWOT,06 APR 1996,KEN,5,,"Stade Louis II, Monaco (MON)",12 JUL 2019,1232
9,8:06.48,,Chala BEYO,18 JAN 1996,ETH,2,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16 JUN 2019,1228
10,8:08.41,,Hillary BOR,22 NOV 1989,USA,2,,"Khalifa International Stadium, Doha (QAT)",03 MAY 2019,1219
11,8:08.61,,Leonard Kipkemoi BETT,03 NOV 2000,KEN,3,,"Khalifa International Stadium, Doha (QAT)",03 MAY 2019,1218
12,8:09.50,,Takele NIGATE,02 OCT 1999,ETH,8,,"Stade Louis II, Monaco (MON)",12 JUL 2019,1214
13,8:11.15,,Stanley Kipkoech KEBENEI,06 NOV 1989,USA,10,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1207
14,8:11.26,,Lawrence Kemboi KIPSANG,15 JUN 1993,KEN,3,,"Olympic Stadium, Nanjing (CHN)",21 MAY 2019,1206
15,8:11.47,,Nicholas Kiptonui BETT,20 DEC 1996,KEN,9,,"Stade Louis II, Monaco (MON)",12 JUL 2019,1205
16,8:12.29,,Albert CHEMUTAI,01 JUN 1995,UGA,10,,"Stade Louis II, Monaco (MON)",12 JUL 2019,1201
17,8:12.47,,Andrew BAYER,03 FEB 1990,USA,12,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1201
18,8:12.89,,Mohamed TINDOUFT,12 MAR 1993,MAR,6,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16 JUN 2019,1199
19,8:12.93,,Barnabas KIPYEGO,12 JUN 1995,KEN,5,,"Olympic Stadium, Nanjing (CHN)",21 MAY 2019,1198
20,8:13.12,,Matthew HUGHES,03 AUG 1989,CAN,4h1,,"Khalifa International Stadium, Doha (QAT)",01 OCT 2019,1198
21,8:14.49,,Ibrahim EZZAYDOUNI,28 APR 1991,ESP,8,,"Stade Charléty, Paris (FRA)",24 AUG 2019,1191
22,8:14.88,,Tadese TAKELE,03 AUG 2002,ETH,2,,Hengelo (NED),17 JUL 2019,1190
23,8:17.07,,Amos KIRUI,09 FEB 1998,KEN,11,,"Stade Charléty, Paris (FRA)",24 AUG 2019,1180
24,8:18.12,,Abdelkarim BEN ZAHRA,27 OCT 1998,MAR,8,,"Stadio Olimpico, Roma (ITA)",06 JUN 2019,1175
25,8:20.16,,Daniel ARCE,22 APR 1992,ESP,10,,"Stadio Olimpico, Roma (ITA)",06 JUN 2019,1166
26,8:20.78,,John KOECH,23 AUG 1995,BRN,8,,"Olympic Stadium, Nanjing (CHN)",21 MAY 2019,1163
27,8:20.88,,Osama ZOGHLAMI,19 JUN 1994,ITA,11,,"Stadio Olimpico, Roma (ITA)",06 JUN 2019,1163
28,8:21.28,,Zak SEDDON,28 JUN 1994,GBR,12,,"Stadio Olimpico, Roma (ITA)",06 JUN 2019,1161
29,8:21.37,,Avinash Mukund SABLE,13 SEP 1994,IND,13,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1160
30,8:21.47,,Topi RAITANEN,07 FEB 1996,FIN,3,,"Paavo Nurmen Stadion, Turku (FIN)",11 JUN 2019,1160
31,8:21.62,,Kennedy NJIRU,1987,KEN,9,,"Khalifa International Stadium, Doha (QAT)",03 MAY 2019,1159
32,8:21.88,,Bilal TABTI,07 JUN 1993,ALG,1,,Bruay-la-Buissiere (FRA),28 JUN 2019,1158
33,8:21.94,,Joash KIPLIMO,21 MAY 1991,KEN,2,,Nairobi (KEN),22 JUN 2019,1158
34,8:22.65,,Philemon Kiplagat RUTO,20 SEP 2001,KEN,1,,"Yanmar Stadium Nagai, Osaka (JPN)",19 MAY 2019,1155
35,8:22.96,,Geoffrey KIPROTICH RONO,23 NOV 1997,KEN,3,,Nairobi (KEN),22 JUN 2019,1153
36,8:23.06,,Yemane HAILESELASSIE,21 FEB 1998,ERI,1,,Huelva (ESP),20 JUN 2019,1153
37,8:23.11,,Maksim YAKUSHEV,15 MAR 1992,RUS,1,,Sochi (RUS),28 MAY 2019,1153
37,8:23.11,,Wilberforce Chemiat KONES,19 SEP 1993,KEN,1,,Liège (BEL),17 JUL 2019,1153
39,8:24.09,,Hicham SIGUENI,30 JAN 1993,MAR,3,,Liège (BEL),17 JUL 2019,1148
40,8:24.14,,Konstantin PLOKHOTNIKOV,24 MAR 1997,RUS,1,,Kaluga (RUS),15 JUN 2019,1148
41,8:24.26,,Yohanes CHIAPPINELLI,18 AUG 1997,ITA,14,,"Stadio Olimpico, Roma (ITA)",06 JUN 2019,1148
42,8:24.28,,Tesfaye DERIBA,11 SEP 1998,ETH,4,,"Paavo Nurmen Stadion, Turku (FIN)",11 JUN 2019,1147
43,8:24.44,,Benjamin KIPLAGAT,04 MAR 1989,UGA,6h3,,"Khalifa International Stadium, Doha (QAT)",01 OCT 2019,1147
44,8:24.80,,Tafese SOBOKA,29 SEP 1993,ETH,1,,Šamorín (SVK),15 JUN 2019,1145
