Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
49,8:26.34,,Yuri FLORIANI,25 DEC 1981,ITA,13,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1138
50,8:26.45,,Tarik Langat AKDAG,16 JUN 1988,TUR,5,,"Le Grand Stade, Marrakech (MAR)",08 JUN 2014,1138
51,8:26.61,,José Gregorio PEÑA,12 JAN 1987,VEN,4,,Sotteville-lès-Rouen (FRA),14 JUN 2014,1137
52,8:26.79,,Steffen ULICZKA,17 JUL 1984,GER,7,,Luzern (SUI),15 JUL 2014,1136
53,8:26.85,,Birhan GETAHUN,05 SEP 1991,ETH,1,,Montbéliard (FRA),06 JUN 2014,1136
54,8:27.0h,,Peter Kibet LAGAT,26 MAY 1992,KEN,1,,Nairobi (KEN),24 MAY 2014,1135
54,8:27.0h,,Joash KIPLIMO,21 MAY 1991,KEN,4,,Nairobi (KEN),07 JUN 2014,1135
56,8:27.00,,Roberto ALAIZ,20 JUL 1990,ESP,3,,Padova (ITA),06 JUL 2014,1135
57,8:27.53,,Abdelaziz MERZOUGUI,30 AUG 1991,ESP,9,,Huelva (ESP),12 JUN 2014,1133
58,8:27.81,,Taylor MILNE,14 SEP 1981,CAN,1,,Guelph (CAN),31 MAY 2014,1132
59,8:28.03,,Yuriy KLOPTSOV,22 DEC 1989,RUS,2,,Sochi (RUS),29 MAY 2014,1131
59,8:28.03,,Łukasz PARSZCZYŃSKI,04 MAY 1985,POL,1,,Joensuu (FIN),24 JUL 2014,1131
61,8:28.12,,Patrick NASTI,30 AUG 1989,ITA,10,,Huelva (ESP),12 JUN 2014,1130
62,8:28.17,,Chris WINTER,22 JUL 1986,CAN,9,,Luzern (SUI),15 JUL 2014,1130
63,8:28.42,,William NELSON,11 SEP 1984,USA,5,,Tokyo (JPN),11 MAY 2014,1129
64,8:28.73,,Andrey FARNOSOV,09 JUL 1980,RUS,3f2,,Kazan (RUS),24 JUL 2014,1128
65,8:28.83,,Nicholas Kiptonui BETT,20 DEC 1996,KEN,3,,Dessau (GER),11 JUN 2014,1127
66,8:28.97,,Tolosa NURGI,29 MAR 1990,ETH,2,,Montbéliard (FRA),06 JUN 2014,1127
67,8:29.08,,Donnie COWART,24 OCT 1985,USA,2,,Joensuu (FIN),24 JUL 2014,1126
