Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,8:19.08,Francine NIYONSABA,05 MAY 1993,BDI,1,,"Stade Charléty, Paris (FRA)",28 AUG 2021,1247
2,8:19.52,Ejgayehu TAYE,10 FEB 2000,ETH,2,,"Stade Charléty, Paris (FRA)",28 AUG 2021,1245
3,8:21.53,Margaret Chelimo KIPKEMBOI,09 FEB 1993,KEN,3,,"Stade Charléty, Paris (FRA)",28 AUG 2021,1238
4,8:26.70,Francine NIYONSABA,05 MAY 1993,BDI,f2,,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1220
5,8:27.49,Beatrice CHEBET,05 MAR 2000,KEN,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1217
6,8:28.27,Margaret Chelimo KIPKEMBOI,09 FEB 1993,KEN,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1214
7,8:28.40,Letesenbet GIDEY,20 MAR 1998,ETH,f2,,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1214
8,8:28.96,Lilian Kasait RENGERUK,03 MAY 1997,KEN,3,,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1212
9,8:30.30,Elise CRANNY,09 MAY 1996,USA,4,,"Stade Charléty, Paris (FRA)",28 AUG 2021,1207
10,8:30.54,Sifan HASSAN,01 JAN 1993,NED,f1,,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1206
11,8:30.76,Fantu WORKU,29 MAR 1999,ETH,5,,"Stade Charléty, Paris (FRA)",28 AUG 2021,1206
12,8:31.36,Eilish MCCOLGAN,25 NOV 1990,GBR,6,,"Stade Charléty, Paris (FRA)",28 AUG 2021,1204
13,8:33.47,Karoline Bjerkeli GRØVDAL,14 JUN 1990,NOR,7,,"Stade Charléty, Paris (FRA)",28 AUG 2021,1196
14,8:33.98,Hellen OBIRI,13 DEC 1989,KEN,4,,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1194
15,8:34.31,Hellen OBIRI,13 DEC 1989,KEN,f2,,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1193
16,8:36.20,Sheila CHELANGAT,11 APR 1998,KEN,5,,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1187
17,8:36.70,Konstanze KLOSTERHALFEN,18 FEB 1997,GER,8,,"Stade Charléty, Paris (FRA)",28 AUG 2021,1185
18,8:38.51,Gabriela DEBUES-STAFFORD,13 SEP 1995,CAN,1,,"Brophy College Preparatory - Sports Campus, Phoenix, AZ (USA)",06 FEB 2021,1179
19,8:39.47,Yasemin CAN,11 DEC 1996,TUR,6,,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1175
20,8:39.78,Konstanze KLOSTERHALFEN,18 FEB 1997,GER,f2,,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1174
21,8:39.88,Hawi FEYSA,01 FEB 1999,ETH,7,,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1174
22,8:39.95,Svetlana APLACHKINA,28 NOV 1992,ANA,1,,"Stadio Quercia, Rovereto (ITA)",31 AUG 2021,1174
23,8:40.08,Alicia MONSON,13 MAY 1998,USA,9,,"Stade Charléty, Paris (FRA)",28 AUG 2021,1173
24,8:40.23,Colleen QUIGLEY,20 NOV 1992,USA,2,,"Brophy College Preparatory - Sports Campus, Phoenix, AZ (USA)",06 FEB 2021,1173
25,8:40.25,Karissa SCHWEIZER,04 MAY 1996,USA,3,,"Brophy College Preparatory - Sports Campus, Phoenix, AZ (USA)",06 FEB 2021,1173
26,8:40.33,Elise CRANNY,09 MAY 1996,USA,4,,"Brophy College Preparatory - Sports Campus, Phoenix, AZ (USA)",06 FEB 2021,1172
27,8:40.46,Elena BURKARD,10 FEB 1992,GER,2,,"Stadio Quercia, Rovereto (ITA)",31 AUG 2021,1172
28,8:40.76,Mercy CHERONO,07 MAY 1991,KEN,3,,"Stadio Quercia, Rovereto (ITA)",31 AUG 2021,1171
29,8:40.84,Nozomi TANAKA,04 SEP 1999,JPN,1,,"Athletic Track, Abashiri (JPN)",10 JUL 2021,1171
30,8:41.01,Danielle JONES,21 AUG 1996,USA,4,,"Stadio Quercia, Rovereto (ITA)",31 AUG 2021,1170
31,8:43.67,Eva CHERONO,15 AUG 1996,KEN,8,,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1161
32,8:44.21,Gabriela DEBUES-STAFFORD,13 SEP 1995,CAN,10,,"Stade Charléty, Paris (FRA)",28 AUG 2021,1159
33,8:44.27,Beatrice CHEBET,05 MAR 2000,KEN,11,,"Stade Charléty, Paris (FRA)",28 AUG 2021,1159
34,8:44.45,Elise CRANNY,09 MAY 1996,USA,f2,,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1158
35,8:46.01,Hanna KLEIN,06 APR 1993,GER,12,,"Stade Charléty, Paris (FRA)",28 AUG 2021,1153
