Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:34.77,Joshua THOMPSON,09 MAY 1993,USA,1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",27 FEB 2020,1231
2,3:35.54,Samuel TEFERA,23 OCT 1999,ETH,1,,"Arena Stade Couvert, Liévin (FRA)",19 FEB 2020,1220
3,3:36.13,Justyn KNIGHT,19 JUL 1996,CAN,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 FEB 2020,1211
4,3:36.22,Bethwell BIRGEN,06 AUG 1988,KEN,1,,"Emirates Arena, Glasgow (GBR)",15 FEB 2020,1210
5,3:36.32,Filip INGEBRIGTSEN,20 APR 1993,NOR,1,,"Leichtathletikhalle im Arena-Sportpark, Düsseldorf (GER)",04 FEB 2020,1209
6,3:36.40,Chris O'HARE,23 NOV 1990,GBR,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 FEB 2020,1208
7,3:36.51,Brannon KIDDER,18 NOV 1993,USA,2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",27 FEB 2020,1206
8,3:36.68,Jesús GÓMEZ,24 APR 1991,ESP,2,,"Arena Stade Couvert, Liévin (FRA)",19 FEB 2020,1204
9,3:36.82,Abraham ALVARADO,04 AUG 1995,USA,3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",27 FEB 2020,1202
10,3:36.93,James WEST,30 JAN 1996,GBR,4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",27 FEB 2020,1200
11,3:37.13,Marcin LEWANDOWSKI,13 JUN 1987,POL,2,,"Emirates Arena, Glasgow (GBR)",15 FEB 2020,1197
12,3:37.21,Joshua THOMPSON,09 MAY 1993,USA,1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",01 FEB 2020,1196
13,3:37.22,Jesús GÓMEZ,24 APR 1991,ESP,3,,"Emirates Arena, Glasgow (GBR)",15 FEB 2020,1196
14,3:37.28,Abraham ALVARADO,04 AUG 1995,USA,2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",01 FEB 2020,1195
15,3:37.32,Selemon BAREGA,20 JAN 2000,ETH,1,,Val-de-Reuil (FRA),14 FEB 2020,1195
16,3:37.81,Izaic YORKS,17 APR 1994,USA,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 FEB 2020,1188
17,3:37.95,Vincent Kibet KETER,11 MAR 2002,KEN,1,,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA)",09 FEB 2020,1186
18,3:37.98,Andrew COSCORAN,18 JUN 1996,IRL,3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",01 FEB 2020,1185
19,3:38.03,Rob NAPOLITANO,03 NOV 1994,USA,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 FEB 2020,1184
20,3:38.10,Marcin LEWANDOWSKI,13 JUN 1987,POL,3,,"Arena Stade Couvert, Liévin (FRA)",19 FEB 2020,1183
21,3:38.30,Eric AVILA,03 OCT 1989,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 FEB 2020,1181
22,3:38.55,Kebede ENDALE,22 JUN 2000,ETH,2,,Val-de-Reuil (FRA),14 FEB 2020,1177
23,3:38.57,Ignacio FONTES,22 JUN 1998,ESP,1,,"Arena, Toruń (POL)",08 FEB 2020,1177
24,3:38.71,Ignacio FONTES,22 JUN 1998,ESP,4,,"Arena Stade Couvert, Liévin (FRA)",19 FEB 2020,1175
24,3:38.71,Colby ALEXANDER,13 JUN 1991,USA,6f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 FEB 2020,1175
26,3:38.81,Piers COPELAND,26 NOV 1998,GBR,4,,"Emirates Arena, Glasgow (GBR)",15 FEB 2020,1174
27,3:38.94,Elzan BIBIĆ,08 JAN 1999,SRB,1,,"Atletická hala, Ostrava (CZE)",05 FEB 2020,1172
28,3:38.95,Charlie DA'VALL GRICE,07 NOV 1993,GBR,5,,"Arena Stade Couvert, Liévin (FRA)",19 FEB 2020,1172
29,3:38.98,Vincent KIBET,06 MAY 1991,KEN,2,,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA)",09 FEB 2020,1171
30,3:39.02,Vincent KIBET,06 MAY 1991,KEN,5,,"Emirates Arena, Glasgow (GBR)",15 FEB 2020,1171
30,3:39.02,Samuel PRAKEL,29 OCT 1994,USA,5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",27 FEB 2020,1171
32,3:39.05,Ismael DEBJANI,25 SEP 1990,BEL,2,,"Leichtathletikhalle im Arena-Sportpark, Düsseldorf (GER)",04 FEB 2020,1170
33,3:39.13,Thiago ANDRÉ,04 AUG 1995,BRA,2,,"Arena, Toruń (POL)",08 FEB 2020,1169
34,3:39.25,George MILLS,12 MAY 1999,GBR,6,,"Emirates Arena, Glasgow (GBR)",15 FEB 2020,1167
35,3:39.49,Vincent KIBET,06 MAY 1991,KEN,3,,"Leichtathletikhalle im Arena-Sportpark, Düsseldorf (GER)",04 FEB 2020,1164
35,3:39.49,Samuel TANNER,24 AUG 2000,NZL,6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",27 FEB 2020,1164
37,3:39.51,Nanami ARAI,26 DEC 1994,JPN,7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",27 FEB 2020,1164
38,3:39.70,Marius PROBST,20 AUG 1995,GER,4,,"Leichtathletikhalle im Arena-Sportpark, Düsseldorf (GER)",04 FEB 2020,1161
39,3:39.95,Boaz KIPRUGUT,18 MAY 1998,KEN,3,,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA)",09 FEB 2020,1158
40,3:40.01,Mohamed ABDILAAHI,24 MAR 1999,GER,1,,"Helmut-Körnig-Halle, Dortmund (GER)",25 JAN 2020,1157
41,3:40.09,Maximilian THORWIRTH,09 JAN 1995,GER,2,,"Helmut-Körnig-Halle, Dortmund (GER)",25 JAN 2020,1156
42,3:40.16,Boaz KIPRUGUT,18 MAY 1998,KEN,5,,"Leichtathletikhalle im Arena-Sportpark, Düsseldorf (GER)",04 FEB 2020,1155
43,3:40.25,Piers COPELAND,26 NOV 1998,GBR,1,,"Helmut-Körnig-Halle, Dortmund (GER)",09 FEB 2020,1153
44,3:40.28,Kumari TAKI,06 MAY 1999,KEN,2,,"Helmut-Körnig-Halle, Dortmund (GER)",09 FEB 2020,1153
45,3:40.33,Timo BENITZ,24 DEC 1991,GER,3,,"Helmut-Körnig-Halle, Dortmund (GER)",09 FEB 2020,1152
46,3:40.38,Andreas VOJTA,09 JUN 1989,AUT,1f1,,"Ferry-Dusika-Halle, Wien (AUT)",01 FEB 2020,1152
47,3:40.44,Timo BENITZ,24 DEC 1991,GER,6,,"Leichtathletikhalle im Arena-Sportpark, Düsseldorf (GER)",04 FEB 2020,1151
48,3:40.46,Kebede ENDALE,22 JUN 2000,ETH,4,,"Helmut-Körnig-Halle, Dortmund (GER)",09 FEB 2020,1150
49,3:40.56,James RANDON,16 JUN 1994,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 FEB 2020,1149
49,3:40.56,Alex ROGERS,26 JUN 1997,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 FEB 2020,1149
51,3:40.57,Chris O'HARE,23 NOV 1990,GBR,f1,,"Armory Track&Field Center, New York, NY (USA)",08 FEB 2020,1149
52,3:40.59,Saúl ORDÓÑEZ,10 APR 1994,ESP,7,,"Leichtathletikhalle im Arena-Sportpark, Düsseldorf (GER)",04 FEB 2020,1149
52,3:40.59,Thiago ANDRÉ,04 AUG 1995,BRA,8,,"Leichtathletikhalle im Arena-Sportpark, Düsseldorf (GER)",04 FEB 2020,1149
54,3:40.67,Marius PROBST,20 AUG 1995,GER,5,,"Helmut-Körnig-Halle, Dortmund (GER)",09 FEB 2020,1148
55,3:40.69,Vincent Kibet KETER,11 MAR 2002,KEN,6,,"Arena Stade Couvert, Liévin (FRA)",19 FEB 2020,1147
56,3:40.70,Julian OAKLEY,23 JUN 1993,NZL,4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",01 FEB 2020,1147
57,3:40.73,Brahim KAAZOUZI,15 JUN 1990,MAR,2,,"Atletická hala, Ostrava (CZE)",05 FEB 2020,1147
58,3:40.75,Yassin BOUIH,24 NOV 1996,ITA,1f2,,"Palaindoor Ancona, Ancona (ITA)",22 FEB 2020,1146
59,3:40.82,Quentin TISON,16 APR 1996,FRA,7,,"Arena Stade Couvert, Liévin (FRA)",19 FEB 2020,1145
60,3:40.84,Rabii DOUKKANA,06 DEC 1987,FRA,4,,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA)",09 FEB 2020,1145
61,3:40.89,Enrico RICCOBON,29 MAR 1995,ITA,3,,"Atletická hala, Ostrava (CZE)",05 FEB 2020,1144
62,3:40.93,Enrico RICCOBON,29 MAR 1995,ITA,2f2,,"Palaindoor Ancona, Ancona (ITA)",22 FEB 2020,1144
