Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:35.26,,Rui SILVA,03 AUG 1977,POR,1,,Liévin (FRA) (i),24 FEB 2002,1224
2,3:35.56,,Mehdi BAALA,17 AUG 1978,FRA,2,,Liévin (FRA) (i),24 FEB 2002,1220
3,3:36.27,,Fouad CHOUKI,01 OCT 1978,FRA,3,,Liévin (FRA) (i),24 FEB 2002,1209
4,3:36.34,,Bouabdellah TAHRI,20 DEC 1978,FRA,2,,Stuttgart (GER) (i),03 FEB 2002,1208
5,3:36.37,,Michael TOO,03 AUG 1983,KEN,3,,Stuttgart (GER) (i),03 FEB 2002,1208
6,3:36.65,,Juan Carlos HIGUERO,03 AUG 1978,ESP,1,,Sevilla (ESP) (i),09 FEB 2002,1204
7,3:37.68,,Mohamed KHALDI,05 MAR 1975,ALG,4,,Liévin (FRA) (i),24 FEB 2002,1189
8,3:38.21,,Wolfram MÜLLER,08 JUL 1981,GER,2,,Dortmund (GER) (i),27 JAN 2002,1182
9,3:38.49,,José Antonio REDOLAT,17 FEB 1976,ESP,2,,Karlsruhe (GER) (i),25 JAN 2002,1178
10,3:38.69,,James NOLAN,27 JAN 1977,IRL,3,,Dortmund (GER) (i),27 JAN 2002,1175
11,3:38.90,,John MAYOCK,26 OCT 1970,GBR,3,,Gent (BEL) (i),10 FEB 2002,1172
12,3:38.96,,Paweł CZAPIEWSKI,30 MAR 1978,POL,6,,Stuttgart (GER) (i),03 FEB 2002,1171
13,3:39.00,,Vyacheslav SHABUNIN,27 SEP 1969,RUS,3,,Karlsruhe (GER) (i),25 JAN 2002,1171
14,3:39.01,,Saïd CHÉBILI,06 MAY 1973,FRA,4,,Gent (BEL) (i),10 FEB 2002,1171
15,3:39.54,,Hamid EL MOUAZIZ,17 FEB 1979,MAR,4,,Dortmund (GER) (i),27 JAN 2002,1163
16,3:39.81,,Branko ZORKO,01 JUL 1967,CRO,4,,Karlsruhe (GER) (i),25 JAN 2002,1160
17,3:40.28,,Bernard LAGAT,12 DEC 1974,KEN,2,,Birmingham (GBR) (i),17 FEB 2002,1153
18,3:40.32,,Abdelkader HACHLAF,03 JUL 1979,MAR,3,,Birmingham (GBR) (i),17 FEB 2002,1152
19,3:40.52,,Michael EAST,20 JAN 1978,GBR,1h1,,"Ferry-Dusika-Halle, Wien (AUT) (i)",01 MAR 2002,1150
20,3:40.60,,Andrey ZADOROZHNIY,03 SEP 1973,RUS,2h1,,"Ferry-Dusika-Halle, Wien (AUT) (i)",01 MAR 2002,1149
21,3:40.64,,Michal ŠNEBERGER,23 JUN 1978,CZE,5,,Karlsruhe (GER) (i),25 JAN 2002,1148
22,3:40.71,,Ferdinando VICARI,26 SEP 1973,ITA,6,,Karlsruhe (GER) (i),25 JAN 2002,1147
