Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,50.85,,Perri SHAKES-DRAYTON,21 DEC 1988,GBR,1,,"Scandinavium, Göteborg (SWE) (i)",03 MAR 2013,1205
2,50.88,,Natasha HASTINGS,23 JUL 1986,USA,1,,"National Indoor Arena, Birmingham (GBR) (i)",16 FEB 2013,1204
2,50.88,,Shaunae MILLER,15 APR 1994,BAH,1f1,,"Fayetteville, AR (USA) (i)",09 MAR 2013,1204
4,51.05,,Regina GEORGE,17 FEB 1991,NGR,2f1,,"Fayetteville, AR (USA) (i)",09 MAR 2013,1197
5,51.27,,Zuzana HEJNOVÁ,19 DEC 1986,CZE,2sf2,,"Scandinavium, Göteborg (SWE) (i)",02 MAR 2013,1189
5,51.27,,Ashley SPENCER,08 JUN 1993,USA,1f2,,"Fayetteville, AR (USA) (i)",09 MAR 2013,1189
7,51.31,,Kseniya AKSYONOVA,14 JAN 1988,RUS,1,,Moskva (RUS) (i),13 FEB 2013,1187
8,51.45,,Eilidh DOYLE,20 FEB 1987,GBR,2,,"Scandinavium, Göteborg (SWE) (i)",03 MAR 2013,1182
9,51.76,,Kineke ALEXANDER,21 FEB 1986,VIN,1,,"College Station, TX (USA) (i)",09 FEB 2013,1169
10,51.82,,Ebonie FLOYD,21 OCT 1983,USA,1,,"College Station, TX (USA) (i)",26 JAN 2013,1167
11,51.98,,Marie GAYOT,18 DEC 1989,FRA,1f1,,Aubiére (FRA) (i),17 FEB 2013,1161
12,52.01,,Phyllis FRANCIS,04 MAY 1992,USA,2f2,,"Fayetteville, AR (USA) (i)",09 MAR 2013,1160
13,52.02,,Indira TERRERO,29 NOV 1985,CUB,1,,Metz (FRA) (i),24 FEB 2013,1159
14,52.04,,Moa HJELMER,19 JUN 1990,SWE,3,,"Scandinavium, Göteborg (SWE) (i)",03 MAR 2013,1159
15,52.07,,Angela MOROŞANU,26 JUL 1986,ROU,1h2,,"Scandinavium, Göteborg (SWE) (i)",01 MAR 2013,1157
16,52.09,,Georganne MOLINE,06 MAR 1990,USA,3f2,,"Fayetteville, AR (USA) (i)",09 MAR 2013,1157
17,52.12,,Mary WINEBERG,03 JAN 1980,USA,1,,"New York, NY (USA) (i)",26 JAN 2013,1156
17,52.12,,Denisa ROSOLOVÁ,21 AUG 1986,CZE,3sf2,,"Scandinavium, Göteborg (SWE) (i)",02 MAR 2013,1156
19,52.16,,Kamaria BROWN,21 DEC 1992,USA,2f2,,"Fayetteville, AR (USA) (i)",24 FEB 2013,1154
20,52.18,,Patricia HALL,16 OCT 1982,JAM,1f1,,"CSKA, Moskva (RUS) (i)",03 FEB 2013,1153
21,52.20,,Francena MCCORORY,20 OCT 1988,USA,2,,"New York, NY (USA) (i)",16 FEB 2013,1152
22,52.22,,Erika RUCKER,29 SEP 1993,USA,2f1,,"Fayetteville, AR (USA) (i)",24 FEB 2013,1152
23,52.24,,Kseniya ZADORINA,02 MAR 1987,RUS,1f3,,Moskva (RUS) (i),25 JAN 2013,1151
24,52.35,,Margaret ADEOYE,22 APR 1985,GBR,2,,Metz (FRA) (i),24 FEB 2013,1147
25,52.37,,Ella RÄSÄNEN,27 JAN 1994,FIN,1,,Göteborg (SWE) (i),03 JAN 2013,1146
26,52.38,,Nadezhda KOTLYAROVA,12 JUN 1989,RUS,1f10,,Moskva (RUS) (i),25 JAN 2013,1145
26,52.38,,Diamond DIXON,29 JUN 1992,USA,3f1,,"Fayetteville, AR (USA) (i)",09 MAR 2013,1145
28,52.44,,Jessica BEARD,08 JAN 1989,USA,2,,"College Station, TX (USA) (i)",09 FEB 2013,1143
29,52.46,,Olga TOVARNOVA,11 APR 1985,RUS,3,,Moskva (RUS) (i),13 FEB 2013,1142
30,52.48,,Ebony EUTSEY,03 MAY 1992,USA,2h1,,"Fayetteville, AR (USA) (i)",23 FEB 2013,1142
31,52.52,,Sparkle MC KNIGHT,21 DEC 1991,TTO,4f2,,"Fayetteville, AR (USA) (i)",09 MAR 2013,1140
32,52.56,,Tatyana VESHKUROVA,23 SEP 1981,RUS,4,,Moskva (RUS) (i),13 FEB 2013,1139
33,52.66,,Madiea GHAFOOR,09 SEP 1992,NED,2f1,,"Kirchberg, Luxembourg (LUX) (i)",02 FEB 2013,1135
33,52.66,,Briana NELSON,18 JUL 1992,USA,3h1,,"Fayetteville, AR (USA) (i)",08 MAR 2013,1135
35,52.70,,Phara ANACHARSIS,17 DEC 1983,FRA,3,,Metz (FRA) (i),24 FEB 2013,1133
36,52.71,,Muriel HURTIS,25 MAR 1979,FRA,4,,Metz (FRA) (i),24 FEB 2013,1133
37,52.78,,Line KLOSTER,27 FEB 1990,NOR,4sf2,,"Scandinavium, Göteborg (SWE) (i)",02 MAR 2013,1130
38,52.80,,Meghan BEESLEY,15 NOV 1989,GBR,1f1,,Wien (AUT) (i),29 JAN 2013,1129
39,52.84,,Marlena WESH,16 FEB 1991,HAI,1f2,,"Blacksburg, VA (USA) (i)",23 FEB 2013,1128
40,52.85,,Yuliya KUZNETSOVA,20 FEB 1990,RUS,3,,Glasgow (GBR) (i),26 JAN 2013,1127
41,52.86,,Ibukun Blessing MAYUNGBE,15 APR 1992,NGR,4f2,,"Fayetteville, AR (USA) (i)",24 FEB 2013,1127
41,52.86,,Shana COX,22 JAN 1985,GBR,3sf1,,"Scandinavium, Göteborg (SWE) (i)",02 MAR 2013,1127
43,52.90,,Liliya MOLGACHEVA,02 MAR 1990,RUS,2,,Volgograd (RUS) (i),26 JAN 2013,1126
44,52.92,,Danielle DOWIE,05 MAY 1992,JAM,1f1,,"Fayetteville, AR (USA) (i)",08 FEB 2013,1125
45,53.05,,Alysia MONTAÑO,23 APR 1986,USA,2f1,,"Albuquerque, NM (USA) (i)",08 FEB 2013,1120
46,53.06,,Althia MAXIMILIEN,14 MAR 1991,BAR,1f1,,"Fayetteville, AR (USA) (i)",01 MAR 2013,1119
47,53.08,,Melissa CADDLE,03 SEP 1992,USA,1h8,,"New York, NY (USA) (i)",01 FEB 2013,1119
48,53.09,,Courtney OKOLO,15 MAR 1994,USA,2f1,,"Fayetteville, AR (USA) (i)",01 MAR 2013,1118
49,53.11,,Marina KONOVALOVA,17 SEP 1990,RUS,2h3,,Moskva (RUS) (i),12 FEB 2013,1118
49,53.11,,Brianna CROMARTIE,21 MAY 1991,USA,1f2,,"Albuquerque, NM (USA) (i)",23 FEB 2013,1118
51,53.12,,Joanna ATKINS,31 JAN 1989,USA,1f1,,"Fayetteville, AR (USA) (i)",08 FEB 2013,1117
52,53.14,,Jordan LAVENDER,23 JUL 1993,USA,1f1,,"Blacksburg, VA (USA) (i)",23 FEB 2013,1116
53,53.18,,Kseniya GUSAROVA,29 MAR 1989,RUS,1h7,,Moskva (RUS) (i),12 FEB 2013,1115
54,53.19,,Kristina MALVINOVA,16 JUL 1989,RUS,3h3,,Moskva (RUS) (i),12 FEB 2013,1115
55,53.22,,Jody Ann MUIR,01 JAN 1991,JAM,4f1,,"Fayetteville, AR (USA) (i)",24 FEB 2013,1113
56,53.23,,Alina Andreea PANAINTE,07 NOV 1988,ROU,2f1,,Wien (AUT) (i),29 JAN 2013,1113
57,53.24,,LaSasha ALDREDGE,1991,USA,2f2,,"Albuquerque, NM (USA) (i)",23 FEB 2013,1113
58,53.25,,Agnès RAHAROLAHY,07 NOV 1992,FRA,2f1,,Aubiére (FRA) (i),17 FEB 2013,1112
58,53.25,,Aauri Lorena BOKESA,14 DEC 1988,ESP,1,,Sabadell (ESP) (i),17 FEB 2013,1112
60,53.26,,Lanie WHITTAKER,21 MAY 1991,USA,3f10,,"Fayetteville, AR (USA) (i)",26 JAN 2013,1112
60,53.26,,Laura WAKE,03 MAY 1991,GBR,4,,Sheffield (GBR) (i),10 FEB 2013,1112
60,53.26,,Olha ZEMLYAK,16 JAN 1990,UKR,4h2,,"Scandinavium, Göteborg (SWE) (i)",01 MAR 2013,1112
60,53.26,,Shapri ROMERO,13 NOV 1991,USA,3f1,,"Fayetteville, AR (USA) (i)",01 MAR 2013,1112
64,53.28,,Sophia SMELLIE,06 NOV 1979,JAM,4,,"New York, NY (USA) (i)",16 FEB 2013,1111
65,53.32,,Ayvika MALANOVA,28 NOV 1992,RUS,2f3,,Moskva (RUS) (i),25 JAN 2013,1110
65,53.32,,Marina KARNUSHCHENKO,02 OCT 1988,RUS,2h6,,Moskva (RUS) (i),12 FEB 2013,1110
67,53.33,,Elif YILDIRIM,14 FEB 1990,TUR,1f2,,Istanbul (TUR) (i),02 FEB 2013,1109
68,53.38,,Lenora GUION FIRMIN,07 AUG 1991,FRA,2f1,,"New York, NY (USA) (i)",02 FEB 2013,1107
69,53.39,,Maria Enrica SPACCA,20 MAR 1986,ITA,1f1,,Ancona (ITA) (i),10 FEB 2013,1107
70,53.40,,Rebecca ALEXANDER,02 MAY 1990,USA,2,,"New York, NY (USA) (i)",26 JAN 2013,1107
71,53.41,,Alyona MAMINA,30 MAY 1990,RUS,3f2,,"CSKA, Moskva (RUS) (i)",03 FEB 2013,1106
72,53.43,,Aleksandra BULANOVA,10 JUN 1989,RUS,1f1,,Moskva (RUS) (i),25 JAN 2013,1105
72,53.43,,Kiara PORTER,22 OCT 1993,USA,2f2,,"University Park, PA (USA) (i)",26 JAN 2013,1105
72,53.43,,Precious HOLMES,27 NOV 1995,USA,1f2,,"New York, NY (USA) (i)",10 MAR 2013,1105
75,53.47,,Monica HARGROVE,30 DEC 1982,USA,5,,"New York, NY (USA) (i)",16 FEB 2013,1104
