Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,50.41,,Svetlana POSPELOVA,24 DEC 1979,RUS,1,,"Palacio de Deportes, Madrid (ESP) (i)",05 MAR 2005,1222
2,50.55,,Svetlana USOVICH,14 OCT 1980,BLR,2,,"Palacio de Deportes, Madrid (ESP) (i)",05 MAR 2005,1217
3,50.91,,Tiandra PONTEEN,09 NOV 1984,SKN,1,,"Fayetteville, AR (USA) (i)",12 MAR 2005,1203
4,50.92,,Hazel-Ann REGIS,01 FEB 1981,GRN,2,,"Fayetteville, AR (USA) (i)",12 MAR 2005,1202
5,51.26,,Olesya KRASNOMOVETS-FORSHEVA,08 JUL 1979,RUS,1,,Karlsruhe (GER) (i),13 FEB 2005,1189
6,51.58,,Irina ROSIKHINA,11 MAY 1975,RUS,2,,Volgograd (RUS) (i),11 FEB 2005,1176
7,51.77,,Grit BREUER,16 FEB 1972,GER,2,,Karlsruhe (GER) (i),13 FEB 2005,1169
8,51.85,,Natasha HASTINGS,23 JUL 1986,USA,2,,"Fayetteville, AR (USA) (i)",12 FEB 2005,1166
9,51.91,,Yulia PECHONKINA,21 APR 1978,RUS,3,,Volgograd (RUS) (i),11 FEB 2005,1164
10,51.95,,Claudia MARX,16 SEP 1978,GER,3,,Karlsruhe (GER) (i),13 FEB 2005,1162
11,52.01,,DeeDee TROTTER,08 DEC 1982,USA,1,,"Boston, MA (USA) (i)",27 FEB 2005,1160
12,52.02,,Nataliya PYHYDA,30 JAN 1981,UKR,2,,Stockholm (SWE) (i),15 FEB 2005,1159
13,52.06,,Ilona USOVICH,14 NOV 1982,BLR,4,,"Palacio de Deportes, Madrid (ESP) (i)",05 MAR 2005,1158
14,52.24,,Veronica CAMPBELL-BROWN,15 MAY 1982,JAM,2,,"Fayetteville, AR (USA) (i)",22 JAN 2005,1151
15,52.38,,Shauna SMITH,10 SEP 1983,USA,2h1,,"Fayetteville, AR (USA) (i)",11 MAR 2005,1145
16,52.43,,Tiffany WILLIAMS,05 FEB 1983,USA,3,,"Fayetteville, AR (USA) (i)",27 FEB 2005,1144
17,52.54,,Stephanie SMITH,27 JUN 1985,USA,3,,"Fayetteville, AR (USA) (i)",12 MAR 2005,1139
18,52.55,,Shevon STODDART,21 NOV 1982,JAM,2h2,,"Fayetteville, AR (USA) (i)",11 MAR 2005,1139
19,52.63,,Monika BEJNAR,10 MAR 1981,POL,6,,"Palacio de Deportes, Madrid (ESP) (i)",05 MAR 2005,1136
20,52.65,,Ginou ETIENNE,12 JAN 1985,HAI,3h1,,"Fayetteville, AR (USA) (i)",11 MAR 2005,1135
21,52.69,,Tatyana ROSLANOVA,28 SEP 1980,KAZ,1,,Bangkok (THA) (i),14 NOV 2005,1134
22,52.72,,Licretia SIBLEY,03 AUG 1983,USA,1,,"Lincoln, NE (USA) (i)",26 FEB 2005,1132
23,52.75,,Shana COX,22 JAN 1985,USA,1,,"University Park, PA (USA) (i)",29 JAN 2005,1131
23,52.75,,Tatyana LEVINA,28 FEB 1977,RUS,1h4,,Volgograd (RUS) (i),10 FEB 2005,1131
25,52.76,,Anastasiya OVCHINNIKOVA,16 OCT 1984,RUS,1,,Moskva (RUS) (i),19 FEB 2005,1131
26,52.77,,Antonina YEFREMOVA,19 JUL 1981,UKR,3,,Stockholm (SWE) (i),15 FEB 2005,1131
26,52.77,,Lena UDD-ARUHN,22 APR 1970,SWE,4,,Stockholm (SWE) (i),15 FEB 2005,1131
28,52.83,,Nadine BALKOW,20 JUN 1982,GER,3,,Erfurt (GER) (i),04 FEB 2005,1128
28,52.83,,Natalya ANTYUKH,26 JUN 1981,RUS,2,,Chemnitz (GER) (i),25 FEB 2005,1128
30,52.87,,Olga ZAYTSEVA,10 NOV 1984,RUS,1h6,,Volgograd (RUS) (i),10 FEB 2005,1127
31,52.95,,Claudia HOFFMANN,10 DEC 1982,GER,4,,Erfurt (GER) (i),04 FEB 2005,1124
32,52.98,,Mariyana DIMITROVA,29 JUL 1982,BUL,1,,Sofia (BUL) (i),29 JAN 2005,1123
32,52.98,,Melanie PURKISS,11 MAR 1979,GBR,1,,Birmingham (GBR) (i),18 FEB 2005,1123
34,52.99,,Kaltouma NADJINA,16 NOV 1976,CHA,1,,Saskatoon (CAN) (i),06 FEB 2005,1122
35,53.00,,Mariya DRYAKHLOVA,24 APR 1984,RUS,2,,Moskva (RUS) (i),19 FEB 2005,1122
36,53.02,,LaTonya LOCHE,08 OCT 1985,USA,6,,"Fayetteville, AR (USA) (i)",27 FEB 2005,1121
36,53.02,,Kim WALL,21 APR 1983,GBR,3h1,,"Palacio de Deportes, Madrid (ESP) (i)",04 MAR 2005,1121
38,53.04,,Nicole COOK,16 DEC 1982,USA,2,,"University Park, PA (USA) (i)",29 JAN 2005,1120
38,53.04,,Nicole LEACH,18 JUL 1987,USA,1,,"New York, NY (USA) (i)",13 MAR 2005,1120
40,53.07,,Phara ANACHARSIS,17 DEC 1983,FRA,1,,Liévin (FRA) (i),20 FEB 2005,1119
41,53.11,,Catherine MURPHY,21 SEP 1975,GBR,2,,Glasgow (GBR) (i),29 JAN 2005,1118
42,53.19,,Marina SHIYAN,22 JAN 1980,RUS,5,,Moskva (RUS) (i),23 JAN 2005,1115
42,53.19,,Zuzanna RADECKA-PAKASZEWSKA,02 APR 1975,POL,2,,"Schleyer Halle, Stuttgart (GER) (i)",29 JAN 2005,1115
42,53.19,,Charlette GREGGS,20 OCT 1983,USA,5,,"Fayetteville, AR (USA) (i)",12 FEB 2005,1115
45,53.22,,Oksana ILYUSHKINA,25 MAY 1974,UKR,2,,Sumy (UKR) (i),12 FEB 2005,1113
46,53.23,,Małgorzata PSKIT,25 MAY 1976,POL,3h2,,"Palacio de Deportes, Madrid (ESP) (i)",04 MAR 2005,1113
47,53.24,,Kineke ALEXANDER,21 FEB 1986,VIN,3h2,,"Fayetteville, AR (USA) (i)",11 MAR 2005,1113
48,53.25,,Mary WINEBERG,03 JAN 1980,USA,2,,"Boston, MA (USA) (i)",27 FEB 2005,1112
48,53.25,,Ashlee KIDD,26 JUL 1985,USA,4h2,,"Fayetteville, AR (USA) (i)",11 MAR 2005,1112
50,53.30,,Deonna LAWRENCE,21 MAR 1986,USA,3h3,,"Fayetteville, AR (USA) (i)",26 FEB 2005,1110
51,53.34,,Ronetta SMITH,02 MAY 1980,JAM,1,,"New York, NY (USA) (i)",22 JAN 2005,1109
51,53.34,,Klodiana SHALA,22 AUG 1979,ALB,2,,Peania (GRE) (i),16 FEB 2005,1109
53,53.35,,Nina GILBERT,17 OCT 1984,USA,1,,"Nampa, ID (USA) (i)",26 FEB 2005,1108
54,53.38,,Danijela GRGIĆ,28 SEP 1988,CRO,1,,Wien (AUT) (i),05 FEB 2005,1107
55,53.40,,Virginie FOUQUET,09 SEP 1975,FRA,1h5,,Liévin (FRA) (i),18 FEB 2005,1107
56,53.42,,Anna PACHOLAK-GUZOWSKA,15 JAN 1980,POL,1,,Spala (POL) (i),12 FEB 2005,1106
57,53.43,,Natalya PERYAKOVA,04 MAR 1983,RUS,3,,Moskva (RUS) (i),19 FEB 2005,1105
58,53.44,,Shunté THOMAS,05 JUL 1984,USA,1,,"Lincoln, NE (USA) (i)",05 FEB 2005,1105
59,53.45,,Amy Mbacké THIAM,10 NOV 1976,SEN,3,,Madrid (ESP) (i),24 FEB 2005,1105
60,53.51,,Silja ÚLFARSDÓTTIR,23 JUN 1981,ISL,6,,"Fayetteville, AR (USA) (i)",12 FEB 2005,1102
61,53.53,,Ieva ZUNDA,20 JUL 1978,LAT,3,,"New York, NY (USA) (i)",22 JAN 2005,1102
62,53.57,,Angel PERKINS-MCLEAN,05 OCT 1984,USA,2,,"Lincoln, NE (USA) (i)",05 FEB 2005,1100
63,53.58,,Anja RÜCKER,20 DEC 1972,GER,h2,,Chemnitz (GER) (i),22 JAN 2005,1100
64,53.59,,Carolina KLÜFT,02 FEB 1983,SWE,ce,,Stockholm (SWE) (i),15 FEB 2005,1099
64,53.59,,Moya THOMPSON,21 AUG 1982,JAM,1,,"Boston, MA (USA) (i)",12 MAR 2005,1099
