Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:59.75,,Gelete BURKA,23 JAN 1986,ETH,1,,"Velódromo Luis Puig, Valencia (ESP) (i)",09 MAR 2008,1230
2,3:59.79,,Maryam Yusuf JAMAL,16 SEP 1984,BRN,2,,"Velódromo Luis Puig, Valencia (ESP) (i)",09 MAR 2008,1230
3,4:03.33,,Liliana BARBULESCU-POPESCU,05 FEB 1982,ROU,1,,Bucureşti (ROU) (i),15 FEB 2008,1201
4,4:03.68,,Yekaterina SHARMINA,06 AUG 1986,RUS,1,,Moskva (RUS) (i),10 FEB 2008,1198
5,4:04.19,,Daniela YORDANOVA,08 MAR 1976,BUL,3,,"Velódromo Luis Puig, Valencia (ESP) (i)",09 MAR 2008,1194
6,4:06.99,,Yelena ORLOVA,30 MAY 1980,RUS,2,,Moskva (RUS) (i),19 JAN 2008,1171
7,4:07.41,,Olesya CHUMAKOVA-MIKHEYEVA,23 JUL 1981,RUS,2,,Moskva (RUS) (i),10 FEB 2008,1168
8,4:07.46,,Sylvia Jebiwot KIBET,28 MAR 1984,KEN,1,,Karlsruhe (GER) (i),10 FEB 2008,1168
9,4:08.12,,Sonja ROMAN,11 MAR 1979,SLO,2h2,,"Velódromo Luis Puig, Valencia (ESP) (i)",08 MAR 2008,1162
10,4:08.88,,Lisa DOBRISKEY,23 DEC 1983,GBR,4,,Stockholm (SWE) (i),21 FEB 2008,1156
11,4:09.07,,Susan SCOTT,26 SEP 1977,GBR,5,,Stockholm (SWE) (i),21 FEB 2008,1155
12,4:10.09,,Siham HILALI,02 MAY 1986,MAR,3h2,,"Velódromo Luis Puig, Valencia (ESP) (i)",08 MAR 2008,1147
13,4:10.32,,Hilary STELLINGWERFF,07 AUG 1981,CAN,3,,Karlsruhe (GER) (i),10 FEB 2008,1145
14,4:10.56,,Christin WURTH-THOMAS,11 JUL 1980,USA,5h1,,"Velódromo Luis Puig, Valencia (ESP) (i)",08 MAR 2008,1143
15,4:10.80,,Nataliya TOBIAS,22 NOV 1980,UKR,1,,Sumy (UKR) (i),22 FEB 2008,1141
