Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
50,4:17.47,,Qing LIU,28 APR 1986,CHN,1f1,,Beijing (CHN) (i),29 MAR 2013,1089
51,4:17.57,,Melissa COURTNEY-BRYANT,30 AUG 1993,GBR,3,,Sheffield (GBR) (i),10 FEB 2013,1088
52,4:17.88,,Kseniya KOZHEDUB,11 AUG 1992,RUS,3f2,,Moskva (RUS) (i),25 JAN 2013,1086
53,4:17.99,,Kristine Eikrem ENGESET,15 SEP 1988,NOR,9,,"Globe Arena, Stockholm (SWE) (i)",21 FEB 2013,1085
54,4:18.73,,Polina CHECHYOTKA,01 DEC 1989,RUS,3,,St. Petersburg (RUS) (i),24 JAN 2013,1079
55,4:19.37,,Alison LEONARD,17 MAR 1990,GBR,6,,Wien (AUT) (i),29 JAN 2013,1074
56,4:19.46,,Alem Gereziner GEBREMARIAM,15 APR 1995,ETH,10,,"Globe Arena, Stockholm (SWE) (i)",21 FEB 2013,1074
57,4:19.52,,Eleonora BERLANDA,06 APR 1976,ITA,3,,Ancona (ITA) (i),16 FEB 2013,1073
58,4:19.57,,Aníta HINRIKSDÓTTIR,13 JAN 1996,ISL,1,,Reykjavík (ISL) (i),27 JAN 2013,1073
59,4:19.68,,Florina PIERDEVARĂ,29 MAR 1990,ROU,3,,Istanbul (TUR) (i),23 FEB 2013,1072
60,4:19.99,,Renata PLIŚ,05 FEB 1985,POL,8,,Düsseldorf (GER) (i),08 FEB 2013,1070
61,4:20.18,,Olga TARANTINOVA,28 NOV 1987,RUS,5f2,,Moskva (RUS) (i),25 JAN 2013,1068
62,4:20.31,,Yelena STRUNINA,15 AUG 1987,RUS,1,,Belgorod (RUS) (i),03 FEB 2013,1067
63,4:20.46,,Anna BALAKSHINA,22 NOV 1986,RUS,,,Moskva (RUS) (i),18 JAN 2013,1066
64,4:20.59,,Elena GARCÍA GRIMAU,19 JUN 1986,ESP,3,,Gent (BEL) (i),02 FEB 2013,1065
65,4:20.62,,Lesley VAN MIERT,10 JUN 1985,NED,7,,Wien (AUT) (i),29 JAN 2013,1065
66,4:20.80,,Evelien RUYTERS,10 AUG 1985,NED,4,,Gent (BEL) (i),02 FEB 2013,1064
67,4:20.83,,Morag MACLARTY,10 FEB 1986,GBR,2,,Sheffield (GBR) (i),24 FEB 2013,1063
68,4:20.84,,Irina DMITRIYEVA,11 FEB 1982,RUS,8f2,,Moskva (RUS) (i),14 FEB 2013,1063
69,4:20.85,,Sviatlana KUDZELICH,07 MAY 1987,BLR,1,,Mogilyov (BLR) (i),05 FEB 2013,1063
70,4:20.88,,Ancuţa BOBOCEL,03 OCT 1987,ROU,1,,Bucureşti (ROU) (i),09 FEB 2013,1063
71,4:20.92,,Katrina WOOTTON,02 SEP 1985,GBR,8,,Wien (AUT) (i),29 JAN 2013,1063
72,4:21.00,,Natalya SKVORCHEVSKAYA,06 JUL 1986,RUS,1f1,,Moskva (RUS) (i),14 FEB 2013,1062
73,4:21.02,,Emily STEWART,24 DEC 1991,GBR,3,,Sheffield (GBR) (i),24 FEB 2013,1062
74,4:21.43,,Roxana BÂRCĂ,22 JUN 1988,ROU,2,,Bucureşti (ROU) (i),09 FEB 2013,1059
75,4:21.46,,Charlotta FOUGBERG,19 JUN 1985,SWE,1,,Norrköping (SWE) (i),17 FEB 2013,1059
76,4:21.54,,Yekaterina SOKOLENKO,13 SEP 1992,RUS,1,,Irkutsk (RUS) (i),25 JAN 2013,1058
77,4:21.74,,Danielle TAURO,22 DEC 1988,USA,1,,"New York, NY (USA) (i)",01 FEB 2013,1056
78,4:21.91,,Federica DEL BUONO,12 DEC 1994,ITA,1,,Ancona (ITA) (i),02 MAR 2013,1055
79,4:22.03,,Aleksandra ILLARIONOVA,16 MAR 1990,RUS,2f1,,Moskva (RUS) (i),14 FEB 2013,1054
80,4:22.10,,Corinna HARRER,19 JAN 1991,GER,1,,Glasgow (GBR) (i),26 JAN 2013,1054
81,4:22.32,,Kristina DANILENKO,30 MAY 1985,RUS,3f1,,Moskva (RUS) (i),14 FEB 2013,1052
82,4:22.52,,Karine BELLEAU-BÉLIVEAU,29 DEC 1983,CAN,1,,Montréal (CAN) (i),02 MAR 2013,1050
83,4:22.68,,Lisa HÜBNER,1990,GER,4,,Dortmund (GER) (i),24 FEB 2013,1049
84,4:22.78,,Yelena TUMAYEVA,24 AUG 1989,RUS,6f2,,Moskva (RUS) (i),25 JAN 2013,1049
84,4:22.78,,Astrid LEUTERT,12 SEP 1987,SUI,9,,Wien (AUT) (i),29 JAN 2013,1049
86,4:22.81,,Matea MATOŠEVIĆ,14 MAR 1989,CRO,4,,Istanbul (TUR) (i),23 FEB 2013,1048
87,4:22.93,,Kristina UGAROVA,22 OCT 1987,RUS,2,,Glasgow (GBR) (i),26 JAN 2013,1047
88,4:23.0h,,Oksana SUNTSOVA,25 FEB 1981,RUS,1,,Chelyabinsk (RUS) (i),19 JAN 2013,1047
89,4:23.19,,Christiane DANNER,1988,GER,1,,München (GER) (i),20 JAN 2013,1045
90,4:23.30,,Fang LIU,25 FEB 1990,CHN,1f1,,Nanjing (CHN) (i),06 MAR 2013,1045
91,4:23.41,,Sara VAUGHN,16 MAY 1986,USA,3,,Glasgow (GBR) (i),26 JAN 2013,1044
92,4:23.42,,Yong LI,18 JUN 1988,CHN,2f1,,Nanjing (CHN) (i),06 MAR 2013,1044
93,4:23.43,,Isabell-Sophie TEEGEN,16 SEP 1993,GER,1,,Berlin (GER) (i),02 FEB 2013,1044
94,4:23.58,,Jana SUSSMANN,12 OCT 1990,GER,2,,Berlin (GER) (i),02 FEB 2013,1042
95,4:23.64,,Helen HOFSTEDE,31 DEC 1980,NED,2,,Athlone (IRL) (i),27 JAN 2013,1042
96,4:23.66,,Erin KOCH,,USA,2,,"New York, NY (USA) (i)",01 FEB 2013,1042
97,4:23.76,,Nancy CHEPKWEMOI,08 OCT 1993,KEN,11,,Gent (BEL) (i),10 FEB 2013,1041
98,4:23.85,,Irina MOROZ,09 OCT 1987,UZB,1,,Tashkent (UZB) (i),26 FEB 2013,1040
99,4:23.87,,Rolanda BELL,27 OCT 1987,PAN,3,,"New York, NY (USA) (i)",01 FEB 2013,1040
100,4:23.99,,Sige ZHANG,20 OCT 1987,CHN,3f1,,Nanjing (CHN) (i),06 MAR 2013,1039
101,4:24.06,,Dina ALEKSANDROVA,09 AUG 1992,RUS,1,,Novocheboksarsk (RUS) (i),12 JAN 2013,1039
102,4:24.08,,Oksana ZBROZHEK,12 JAN 1978,RUS,7f2,,Moskva (RUS) (i),25 JAN 2013,1039
103,4:24.12,,Linn NILSSON,15 OCT 1990,SWE,2,,Norrköping (SWE) (i),17 FEB 2013,1038
104,4:24.14,,Ingeborg LØVNES,05 SEP 1992,NOR,4,,Växjö (SWE) (i),09 FEB 2013,1038
105,4:24.19,,Liqiu ZHANG,07 MAY 1987,CHN,1f2,,Nanjing (CHN) (i),06 MAR 2013,1038
106,4:24.24,,Svetlana RYAZANTSEVA,28 NOV 1992,RUS,3,,Volgograd (RUS) (i),24 FEB 2013,1037
107,4:24.46,,Sandra TEIXEIRA,13 MAR 1978,POR,1,,Pombal (POR) (i),26 JAN 2013,1036
108,4:24.47,,Fei XUE,08 AUG 1989,CHN,2f2,,Nanjing (CHN) (i),06 MAR 2013,1036
109,4:24.50,,Xiaolin ZHENG,17 APR 1989,CHN,3f2,,Nanjing (CHN) (i),06 MAR 2013,1036
110,4:24.53,,Svetlana ULOGA,23 NOV 1986,RUS,2,,Novocheboksarsk (RUS) (i),12 JAN 2013,1035
110,4:24.53,,Claire PERRAUX,06 OCT 1987,FRA,1,,Aubiére (FRA) (i),16 FEB 2013,1035
112,4:24.63,,Danielle BARNES,08 OCT 1985,GBR,5,,Sheffield (GBR) (i),10 FEB 2013,1035
113,4:24.67,,Nathalie RESLINGER,09 APR 1983,FRA,2,,Aubiére (FRA) (i),16 FEB 2013,1034
114,4:24.68,,Minna LAMMINEN,23 OCT 1982,FIN,5,,Växjö (SWE) (i),09 FEB 2013,1034
115,4:24.75,,Laura MÉNDEZ,06 NOV 1988,ESP,2h1,,Sabadell (ESP) (i),16 FEB 2013,1034
116,4:24.89,,Layes ABDULLAYEVA,29 MAY 1991,AZE,,,Istanbul (TUR) (i),23 FEB 2013,1033
117,4:24.91,,Natalya TARANTINOVA,28 NOV 1987,RUS,9f2,,Moskva (RUS) (i),14 FEB 2013,1032
118,4:24.95,,Eglė BALČIŪNAITĖ,31 OCT 1988,LTU,2,,Kuldiga (LAT) (i),19 JAN 2013,1032
119,4:25.00,,Paula GONZÁLEZ,02 MAY 1985,ESP,1,,Oviedo (ESP) (i),26 JAN 2013,1032
120,4:25.09,,Alessia PISTILLI,01 FEB 1991,ITA,4,,Ancona (ITA) (i),16 FEB 2013,1031
121,4:25.12,,Olesya POLKOVNIKOVA,16 JUN 1992,RUS,3,,Novocheboksarsk (RUS) (i),12 JAN 2013,1031
122,4:25.14,,Racheal BAMFORD,04 AUG 1989,GBR,6,,Sheffield (GBR) (i),10 FEB 2013,1031
123,4:25.29,,Anstasiya VELIKAYA,31 JUL 1990,RUS,4f1,,Moskva (RUS) (i),14 FEB 2013,1030
124,4:25.30,,Hanna TARVER,22 OCT 1993,GBR,5,,Sheffield (GBR) (i),24 FEB 2013,1030
125,4:25.45,,Montana JONES,06 OCT 1988,GBR,3h2,,Sheffield (GBR) (i),09 FEB 2013,1028
126,4:25.52,,Blanca FERNÁNDEZ,01 APR 1992,ESP,3h1,,Sabadell (ESP) (i),16 FEB 2013,1028
127,4:25.56,,Fang HAO,17 JAN 1991,CHN,4f2,,Nanjing (CHN) (i),06 MAR 2013,1028
128,4:25.82,,Jing ZHAO,09 JUL 1988,CHN,4f1,,Nanjing (CHN) (i),06 MAR 2013,1026
129,4:25.87,,Svetlana PONIMASOVA,16 OCT 1989,RUS,4,,Novocheboksarsk (RUS) (i),12 JAN 2013,1025
130,4:25.94,,Carolin KIRTZEL,03 JAN 1995,GER,1,,Halle (GER) (i),17 FEB 2013,1025
131,4:25.99,,Natalya GRIGORYEVA,08 DEC 1991,RUS,5f1,,Moskva (RUS) (i),14 FEB 2013,1024
132,4:26.02,,Qiuzi XU,08 FEB 1991,CHN,5f2,,Nanjing (CHN) (i),06 MAR 2013,1024
133,4:26.05,,Yelena MURASHOVA,14 DEC 1987,RUS,6f1,,Moskva (RUS) (i),14 FEB 2013,1024
134,4:26.11,,Geneviève LALONDE,05 SEP 1991,CAN,1,,Montréal (CAN) (i),26 JAN 2013,1023
134,4:26.11,,Maria DIETZ,09 APR 1996,GER,1,,Frankfurt-Kalbach (GER) (i),03 FEB 2013,1023
136,4:26.32,,Emma GALBRAITH,1994,CAN,1,,Edmonton (CAN) (i),09 MAR 2013,1022
136,4:26.32,,Morgan DOW,1988,CAN,1,,Ottawa (CAN) (i),21 DEC 2013,1022
138,4:26.33,,Pia NIKOLEIT,1994,GER,2,,Halle (GER) (i),17 FEB 2013,1022
138,4:26.33,,Andrea SECCAFIEN,27 AUG 1990,CAN,2,,Edmonton (CAN) (i),09 MAR 2013,1022
140,4:26.34,,Jessica LONSDALE,26 JUN 1995,GBR,2,,Sheffield (GBR) (i),06 JAN 2013,1022
141,4:26.59,,Maya REHBERG,28 APR 1994,GER,3,,Halle (GER) (i),17 FEB 2013,1020
142,4:26.71,,Tatyana SUPRUN,16 FEB 1986,BLR,3,,Kuldiga (LAT) (i),19 JAN 2013,1019
143,4:26.77,,Kristina MARTYNENKO,26 APR 1991,RUS,5,,Novocheboksarsk (RUS) (i),12 JAN 2013,1019
143,4:26.77,,Claudia Mihaela BOBOCEA,11 JUN 1992,ROU,2f1,,Bucureşti (ROU) (i),25 JAN 2013,1019
145,4:26.85,,Carolin AEHLING,12 JUN 1989,GER,2,,München (GER) (i),20 JAN 2013,1018
146,4:26.90,,Olga VOVK,13 FEB 1993,RUS,7f1,,Moskva (RUS) (i),14 FEB 2013,1018
146,4:26.90,,Felicitas MENSING,14 DEC 1984,GER,3,,Aubiére (FRA) (i),16 FEB 2013,1018
148,4:26.98,,Yuan JIN,11 FEB 1988,CHN,6f2,,Nanjing (CHN) (i),06 MAR 2013,1017
149,4:27.05,,Alicja BENEDYK,17 FEB 1990,POL,3,,Spala (POL) (i),02 FEB 2013,1016
150,4:27.12,,Weiying YU,19 APR 1989,CHN,3f1,,Beijing (CHN) (i),29 MAR 2013,1016
151,4:27.40,,Ran SUN,10 MAY 1991,CHN,7f2,,Nanjing (CHN) (i),06 MAR 2013,1014
152,4:27.43,,Celia TAYLOR,22 JAN 1977,GBR,1,,Cardiff (GBR) (i),13 JAN 2013,1014
153,4:27.44,,Ulyana PASTUKHOVA,15 APR 1984,RUS,8f1,,Moskva (RUS) (i),14 FEB 2013,1014
154,4:27.46,,Yannan ZHEN,10 DEC 1995,CHN,8f2,,Nanjing (CHN) (i),06 MAR 2013,1013
155,4:27.50,,Christina SUPINO,,USA,4,,"New York, NY (USA) (i)",01 FEB 2013,1013
156,4:27.53,,Yanfei WANG,30 JUN 1993,CHN,9f2,,Nanjing (CHN) (i),06 MAR 2013,1013
157,4:27.56,,Monika HARASIM,16 SEP 1988,POL,3,,Spala (POL) (i),17 FEB 2013,1013
158,4:27.61,,Viktoryia SHAUCHUK,02 DEC 1989,BLR,1,,Mogilyov (BLR) (i),26 JAN 2013,1012
159,4:27.7h,,Anastasiya SEDYKH,1988,RUS,2,,Chelyabinsk (RUS) (i),19 JAN 2013,1012
160,4:27.73,,Yekaterina MATYUNINA,23 OCT 1990,RUS,6,,Novocheboksarsk (RUS) (i),12 JAN 2013,1011
161,4:27.74,,Carolyn PLATEAU,22 AUG 1988,GBR,3,,Sheffield (GBR) (i),06 JAN 2013,1011
162,4:27.75,,Gulnara KUZINA,30 JAN 1990,RUS,9f1,,Moskva (RUS) (i),14 FEB 2013,1011
163,4:27.78,,Mestawet TADESSE,19 JUL 1985,ETH,1,,"Kirchberg, Luxembourg (LUX) (i)",02 FEB 2013,1011
164,4:27.79,,Jienuo YAO,18 AUG 1993,CHN,1f2,,Beijing (CHN) (i),29 MAR 2013,1011
165,4:27.87,,Leticia FERNÁNDEZ,16 SEP 1992,ESP,4h1,,Sabadell (ESP) (i),16 FEB 2013,1010
166,4:27.94,,Maren ORTH,22 JUN 1990,GER,,,Hamburg (GER) (i),19 JAN 2013,1010
166,4:27.94,,Tizita BOGALE,13 JUL 1993,ETH,10,,"National Indoor Arena, Birmingham (GBR) (i)",16 FEB 2013,1010
168,4:28.12,,Qiaoling DENG,06 OCT 1990,CHN,2f2,,Beijing (CHN) (i),29 MAR 2013,1008
169,4:28.17,,Lenuta Petronela SIMIUC,27 SEP 1994,ROU,5,,Bucureşti (ROU) (i),09 FEB 2013,1008
170,4:28.19,,Oona KETTUNEN,10 FEB 1994,FIN,1,,Jyväskylä (FIN) (i),16 FEB 2013,1008
171,4:28.20,,Jen PERRAULT,1988,CAN,1,,Ottawa (CAN) (i),09 FEB 2013,1008
