Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:53.09,Gudaf TSEGAY,23 JUN 1997,ETH,1,,"Arena Stade Couvert, Liévin (FRA)",09 FEB 2021,1285
2,3:59.58,Laura MUIR,09 MAY 1993,GBR,2,,"Arena Stade Couvert, Liévin (FRA)",09 FEB 2021,1231
3,4:04.79,Melissa COURTNEY-BRYANT,30 AUG 1993,GBR,3,,"Arena Stade Couvert, Liévin (FRA)",09 FEB 2021,1189
4,4:05.70,Lucia STAFFORD,17 AUG 1998,CAN,1,,"Track and Field Centre, Toronto (CAN)",29 JAN 2021,1182
5,4:05.71,Elise VANDERELST,27 JAN 1998,BEL,4,,"Arena Stade Couvert, Liévin (FRA)",09 FEB 2021,1182
6,4:06.32,Heather MACLEAN,31 AUG 1995,USA,1,,"Ocean Breeze Athl. Complex, New York, NY (USA)",13 FEB 2021,1177
7,4:06.86,Hanna KLEIN,06 APR 1993,GER,5,,"Arena Stade Couvert, Liévin (FRA)",09 FEB 2021,1172
8,4:07.21,Cory Ann MCGEE,29 MAY 1992,USA,2,,"Ocean Breeze Athl. Complex, New York, NY (USA)",13 FEB 2021,1170
9,4:07.48,Esther GUERRERO,07 FEB 1990,ESP,1,,"Gallur, Madrid (ESP)",21 FEB 2021,1168
10,4:07.72,Esther GUERRERO,07 FEB 1990,ESP,6,,"Arena Stade Couvert, Liévin (FRA)",09 FEB 2021,1166
11,4:08.46,Yelena KOROBKINA,25 NOV 1990,RUS,1,,"LFK CSKA, Moskva (RUS)",07 FEB 2021,1160
12,4:09.35,Hanna KLEIN,06 APR 1993,GER,1h3,,"Arena, Toruń (POL)",05 MAR 2021,1153
13,4:09.40,Josephine Chelangat KIPLANGAT,10 OCT 1998,KEN,1,,"Coque Sport Center, Kirchberg, Luxembourg (LUX)",13 FEB 2021,1152
14,4:09.42,Hirut MESHESHA,20 JAN 2001,ETH,1,,"Gallur, Madrid (ESP)",24 FEB 2021,1152
15,4:09.43,Maruša MIŠMAŠ ZRIMŠEK,24 OCT 1994,SLO,1,,"Ataköy Arena, Istanbul (TUR)",20 FEB 2021,1152
16,4:09.44,Marta PÉREZ,19 APR 1993,ESP,2,,"Gallur, Madrid (ESP)",21 FEB 2021,1152
17,4:09.46,Edinah JEBITOK,10 NOV 2001,KEN,2,,"Coque Sport Center, Kirchberg, Luxembourg (LUX)",13 FEB 2021,1152
18,4:09.67,Síofra CLÉIRIGH BÜTTNER,21 JUL 1995,IRL,3,,"Ocean Breeze Athl. Complex, New York, NY (USA)",13 FEB 2021,1150
